d3mIndex,p_0,p_1
1.0,1.0,0.0
934.222222222222,1.0,0.0
1867.4444444444398,1.0,0.0
2800.6666666666697,1.0,0.0
3733.8888888888896,1.0,0.0
4667.11111111111,1.0,0.0
5600.33333333333,1.0,0.0
6533.55555555555,1.0,0.0
7466.777777777779,1.0,0.0
8400.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,0.9725849289878619,0.027415071012138175
4140.0,0.9725958433176148,0.027404156682385217
4140.0,0.9726092464103705,0.02739075358962957
4140.0,0.9726265261416549,0.027373473858345217
4140.0,0.972646331676562,0.02735366832343792
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,0.9725576218883887,0.02744237811161135
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
4140.0,1.0,0.0
