nvc.start.1,d3mIndex
0,3071
0,4139
1,6511
1,3343
1,7223
0,381
0,3136
0,3327
0,8127
1,8328
0,4399
0,1391
0,5061
0,6145
0,223
0,7735
1,1662
1,5812
0,5753
1,3357
0,2554
0,7481
0,7266
0,4183
0,7495
0,3524
0,361
0,1778
0,3032
0,7990
0,5963
0,3583
0,2731
0,4209
0,7827
0,2259
0,977
0,6644
0,7159
0,2278
0,5108
0,349
0,3380
0,5695
0,5035
0,4542
0,621
1,5367
0,216
0,1106
0,4477
0,2811
0,1327
0,2459
0,2984
0,8054
0,867
0,1586
0,5307
0,4109
0,7550
0,4100
0,1979
0,1245
0,4543
0,2001
0,465
0,7044
0,7081
0,5904
0,5032
1,3790
0,1171
0,7826
0,3335
0,6730
0,7510
0,3931
0,6226
0,1840
1,6289
0,2764
0,2716
0,803
0,6818
0,7678
0,1669
1,3635
1,4534
0,415
0,7954
0,1593
0,2215
0,7273
0,348
0,6604
0,3724
0,7238
0,5018
0,2768
0,5153
0,6135
0,6008
0,3112
1,7840
0,8025
0,1338
0,5909
1,4661
1,925
0,4310
0,4938
0,2841
1,1465
1,1371
0,4106
0,3994
0,682
1,3426
1,7005
0,3585
0,6240
1,4265
0,7756
0,596
0,7176
1,3200
1,6563
0,6050
1,3784
0,2915
0,5677
1,30
1,3789
0,4488
0,6035
0,7055
1,3740
0,2039
0,3382
0,871
0,1392
0,1864
0,4105
0,7112
0,1042
0,1116
0,2211
0,7412
0,2404
0,8107
0,6523
0,828
1,5996
1,2887
0,6771
1,4540
0,8379
0,1965
0,531
0,7625
0,5183
0,6709
1,4763
0,3212
0,951
1,570
0,8157
0,1736
0,4852
0,1041
0,4198
0,8164
1,3363
0,8261
1,5997
0,3696
0,114
1,1625
0,872
1,7864
0,666
0,4772
0,6593
1,3302
1,6558
1,3910
1,7641
0,4981
0,6157
0,238
0,1524
0,7902
0,2165
0,2553
1,8355
1,4536
0,1828
0,2686
0,2972
0,2890
0,7778
0,7353
0,17
1,6808
0,5962
1,7776
0,2374
0,3225
1,2368
1,965
0,6766
1,172
0,1428
0,5780
0,2433
1,483
0,7306
0,520
0,36
0,6126
0,3432
0,4919
0,6366
0,5635
0,6361
0,2075
0,6876
0,2552
0,1155
0,7534
0,7850
0,1045
1,5889
0,3617
0,1083
0,6617
0,4976
0,3114
0,4390
0,1302
0,2931
0,6674
0,2058
0,7575
0,376
0,5980
0,873
0,6236
0,6651
0,5206
0,2284
0,8332
1,4430
1,3169
1,7166
0,2148
0,607
0,7705
0,6111
0,6502
0,1732
0,3759
0,2161
0,4659
0,8267
0,7548
0,1037
1,3481
0,5877
0,825
0,856
0,6384
0,2525
1,5095
0,4686
0,7270
1,5568
0,1427
0,1668
1,8108
0,2726
0,3509
1,918
0,2983
1,452
