d3mIndex,p_0,p_1
3071.0,0.9999999983612534,1.6387465928372945e-09
,0.9999999987600684,1.2399315634535574e-09
6511.0,0.9999999991665441,8.334558455695085e-10
,0.9999999660507621,3.394923785321456e-08
7223.0,0.999999993122648,6.877351984895879e-09
381.0,0.9999999896855961,1.0314403843959419e-08
3136.0,0.9999999973380924,2.661907621834204e-09
,0.9999999996973293,3.0267063957681353e-10
8127.0,0.9999999894794883,1.0520511636560619e-08
,0.999999997824257,2.1757430700827255e-09
,0.9999999981479027,1.8520972206202323e-09
,0.9999999993863491,6.136509049749154e-10
,0.9999999725022694,2.74977306419789e-08
6145.0,0.9999999851678645,1.4832135515013775e-08
,0.9999999992988181,7.011818421877852e-10
7735.0,0.9999999968676108,3.1323891985860364e-09
1662.0,0.9999999674068596,3.259314041397776e-08
,0.9999999977782874,2.2217125855175797e-09
,0.9999999774774825,2.2522517570206755e-08
,0.9999999842421256,1.575787442603263e-08
,0.9999999991268477,8.73152364511308e-10
,0.9999999981479027,1.8520972206202323e-09
,0.9999999863949619,1.3605038102566828e-08
4183.0,0.9999999890318054,1.0968194530112847e-08
,0.9999999996575025,3.424975182543346e-10
3524.0,0.9999999967388518,3.261148231988303e-09
361.0,0.9999999994512954,5.487046855564673e-10
,0.9999999919743652,8.02563487269886e-09
3032.0,0.9999999991476182,8.523818373192284e-10
,0.9999999989235944,1.0764055844468501e-09
,0.9999999889647718,1.1035228204022683e-08
,0.9999999996027203,3.972796624872882e-10
2731.0,0.999999996181421,3.8185789568096154e-09
,0.9999999162864853,8.37135146847757e-08
7827.0,0.9999999882325991,1.1767400945682518e-08
2259.0,0.9999999973622338,2.6377662259465545e-09
977.0,0.9999999901441314,9.855868551928533e-09
6644.0,0.9999999914256672,8.574332786154943e-09
7159.0,0.999999986308771,1.3691229004126199e-08
,0.9999999959695843,4.030415683148501e-09
,0.9999999893905808,1.0609419280469121e-08
349.0,0.999999998368258,1.6317419344871948e-09
,0.9999999975159419,2.484058063176417e-09
