d3mIndex,p_0,p_1
50,0.5,0.5
51,0.5,0.5
52,0.5,0.5
53,0.5,0.5
54,0.5,0.5
91,0.5,0.5
92,0.5,0.5
93,0.5,0.5
94,0.5,0.5
95,0.5,0.5
96,0.5,0.5
97,0.5,0.5
98,0.5,0.5
99,0.5,0.5
100,0.5,0.5
101,0.5,0.5
102,0.5,0.5
103,0.5,0.5
104,0.5,0.5
105,0.5,0.5
106,0.5,0.5
107,0.5,0.5
108,0.5,0.5
109,0.5,0.5
129,0.5,0.5
130,0.5,0.5
131,0.5,0.5
132,0.5,0.5
133,0.5,0.5
134,0.5,0.5
135,0.5,0.5
136,0.5,0.5
137,0.5,0.5
138,0.5,0.5
139,0.5,0.5
140,0.5,0.5
141,0.5,0.5
142,0.5,0.5
143,0.5,0.5
144,0.5,0.5
145,0.5,0.5
146,0.5,0.5
147,0.5,0.5
148,0.5,0.5
149,0.5,0.5
150,0.5,0.5
151,0.5,0.5
152,0.5,0.5
153,0.5,0.5
154,0.5,0.5
155,0.5,0.5
156,0.5,0.5
157,0.5,0.5
173,0.5,0.5
174,0.5,0.5
176,0.5,0.5
177,0.5,0.5
178,0.5,0.5
179,0.5,0.5
180,0.5,0.5
181,0.5,0.5
182,0.5,0.5
183,0.5,0.5
184,0.5,0.5
185,0.5,0.5
186,0.5,0.5
187,0.5,0.5
188,0.5,0.5
189,0.5,0.5
190,0.5,0.5
191,0.5,0.5
192,0.5,0.5
250,0.5,0.5
251,0.5,0.5
252,0.5,0.5
253,0.5,0.5
254,0.5,0.5
255,0.5,0.5
256,0.5,0.5
257,0.5,0.5
258,0.5,0.5
259,0.5,0.5
260,0.5,0.5
261,0.5,0.5
262,0.5,0.5
263,0.5,0.5
264,0.5,0.5
265,0.5,0.5
266,0.5,0.5
293,0.5,0.5
294,0.5,0.5
295,0.5,0.5
296,0.5,0.5
297,0.5,0.5
298,0.5,0.5
299,0.5,0.5
300,0.5,0.5
301,0.5,0.5
302,0.5,0.5
303,0.5,0.5
304,0.5,0.5
305,0.5,0.5
306,0.5,0.5
307,0.5,0.5
308,0.5,0.5
309,0.5,0.5
310,0.5,0.5
311,0.5,0.5
312,0.5,0.5
313,0.5,0.5
314,0.5,0.5
315,0.5,0.5
316,0.5,0.5
317,0.5,0.5
318,0.5,0.5
319,0.5,0.5
320,0.5,0.5
321,0.5,0.5
348,0.5,0.5
349,0.5,0.5
350,0.5,0.5
351,0.5,0.5
352,0.5,0.5
353,0.5,0.5
354,0.5,0.5
355,0.5,0.5
356,0.5,0.5
357,0.5,0.5
358,0.5,0.5
359,0.5,0.5
360,0.5,0.5
361,0.5,0.5
362,0.5,0.5
363,0.5,0.5
364,0.5,0.5
365,0.5,0.5
366,0.5,0.5
367,0.5,0.5
368,0.5,0.5
369,0.5,0.5
370,0.5,0.5
371,0.5,0.5
372,0.5,0.5
373,0.5,0.5
374,0.5,0.5
375,0.5,0.5
376,0.5,0.5
378,0.5,0.5
379,0.5,0.5
380,0.5,0.5
381,0.5,0.5
382,0.5,0.5
383,0.5,0.5
384,0.5,0.5
385,0.5,0.5
386,0.5,0.5
387,0.5,0.5
388,0.5,0.5
389,0.5,0.5
390,0.5,0.5
391,0.5,0.5
392,0.5,0.5
393,0.5,0.5
394,0.5,0.5
395,0.5,0.5
443,0.5,0.5
444,0.5,0.5
445,0.5,0.5
446,0.5,0.5
447,0.5,0.5
448,0.5,0.5
449,0.5,0.5
450,0.5,0.5
451,0.5,0.5
452,0.5,0.5
453,0.5,0.5
454,0.5,0.5
455,0.5,0.5
456,0.5,0.5
457,0.5,0.5
458,0.5,0.5
459,0.5,0.5
460,0.5,0.5
461,0.5,0.5
462,0.5,0.5
463,0.5,0.5
464,0.5,0.5
465,0.5,0.5
466,0.5,0.5
467,0.5,0.5
468,0.5,0.5
469,0.5,0.5
470,0.5,0.5
471,0.5,0.5
487,0.5,0.5
488,0.5,0.5
489,0.5,0.5
490,0.5,0.5
491,0.5,0.5
492,0.5,0.5
493,0.5,0.5
494,0.5,0.5
495,0.5,0.5
496,0.5,0.5
497,0.5,0.5
498,0.5,0.5
499,0.5,0.5
500,0.5,0.5
501,0.5,0.5
502,0.5,0.5
503,0.5,0.5
504,0.5,0.5
505,0.5,0.5
506,0.5,0.5
507,0.5,0.5
508,0.5,0.5
509,0.5,0.5
510,0.5,0.5
556,0.5,0.5
557,0.5,0.5
558,0.5,0.5
559,0.5,0.5
560,0.5,0.5
561,0.5,0.5
562,0.5,0.5
563,0.5,0.5
564,0.5,0.5
565,0.5,0.5
566,0.5,0.5
567,0.5,0.5
568,0.5,0.5
569,0.5,0.5
570,0.5,0.5
571,0.5,0.5
572,0.5,0.5
573,0.5,0.5
600,0.5,0.5
601,0.5,0.5
