d3mIndex,nvc.start.1
3071,0
6511,0
7223,0
381,0
3136,0
8127,0
6145,0
7735,0
1662,0
4183,0
3524,0
361,0
3032,0
2731,0
7827,0
2259,0
977,0
6644,0
7159,0
349,0
5035,0
621,0
5367,0
4477,0
1327,0
867,0
4100,0
1245,0
2001,0
465,0
7044,0
5904,0
5032,0
3790,0
1171,0
3931,0
1840,0
2716,0
803,0
4534,0
348,0
6604,0
3724,0
7238,0
2768,0
6135,0
6008,0
7840,0
4661,0
925,0
4938,0
2841,0
1371,0
7005,0
4265,0
7756,0
3200,0
6563,0
3784,0
5677,0
3789,0
7055,0
3740,0
2039,0
871,0
1864,0
7112,0
8107,0
5996,0
6771,0
4540,0
1965,0
6709,0
570,0
1736,0
8164,0
3363,0
5997,0
1625,0
872,0
7864,0
6593,0
3302,0
6558,0
3910,0
1524,0
2553,0
8355,0
4536,0
2686,0
2972,0
7776,0
2368,0
965,0
6766,0
5780,0
2433,0
6126,0
2552,0
5889,0
3617,0
1083,0
4390,0
2931,0
2058,0
376,0
873,0
6651,0
4430,0
7166,0
2148,0
607,0
6111,0
6502,0
1732,0
3759,0
4659,0
8267,0
1037,0
5877,0
856,0
2525,0
5095,0
4686,0
5568,0
8108,0
2726,0
3509,0
918,0
452,0
450,0
8391,0
4663,0
2126,0
7457,0
4098,0
1949,0
6453,0
1525,0
6706,0
2932,0
4695,0
1954,0
1319,0
457,0
7051,0
2971,0
2720,0
6699,0
8335,0
1065,0
7908,0
3192,0
2769,0
7213,0
5508,0
7991,0
2332,0
4153,0
3457,0
2902,0
192,0
1247,0
2734,0
4780,0
1224,0
5570,0
923,0
7532,0
1956,0
1019,0
2719,0
8339,0
2472,0
190,0
7747,0
5441,0
1031,0
5565,0
368,0
189,0
7916,0
4101,0
6655,0
4527,0
6710,0
4285,0
3615,0
4923,0
6113,0
2188,0
4688,0
7234,0
2200,0
6326,0
4149,0
4269,0
3779,0
3850,0
4610,0
1622,0
3662,0
6454,0
5260,0
6705,0
624,0
265,0
6887,0
7812,0
7441,0
2000,0
1036,0
1848,0
2135,0
6984,0
6702,0
3725,0
7330,0
6763,0
2484,0
1528,0
352,0
8275,0
5894,0
743,0
7293,0
5716,0
4429,0
1192,0
2325,0
96,0
4831,0
1749,0
8367,0
5372,0
6886,0
2301,0
6005,0
933,0
7440,0
2140,0
6086,0
8307,0
3510,0
6541,0
6000,0
4394,0
5450,0
3611,0
6989,0
8172,0
690,0
357,0
854,0
2661,0
2369,0
5426,0
4319,0
2669,0
446,0
5379,0
2831,0
3239,0
3092,0
4029,0
6608,0
7975,0
2621,0
8064,0
1231,0
4740,0
3944,0
789,0
561,0
298,0
5048,0
2601,0
498,0
2776,0
5418,0
382,0
2678,0
4865,0
4476,0
7872,0
1846,0
5564,0
2384,0
7607,0
3614,0
4616,0
7102,0
5371,0
2133,0
4318,0
567,0
2647,0
3927,0
2714,0
1658,0
6698,0
7791,0
3852,0
5573,0
7043,0
2183,0
2426,0
748,0
2836,0
453,0
2425,0
3067,0
4697,0
4932,0
7348,0
6898,0
1367,0
7980,0
4046,0
2139,0
3086,0
2389,0
3828,0
6764,0
866,0
3465,0
5982,0
6141,0
4160,0
3865,0
4337,0
1223,0
6338,0
5463,0
4656,0
4045,0
4463,0
3397,0
8051,0
258,0
1619,0
7056,0
3628,0
8103,0
5029,0
8215,0
5842,0
3241,0
6662,0
3754,0
491,0
2240,0
5421,0
4425,0
463,0
6986,0
5443,0
8287,0
2201,0
7555,0
4245,0
4603,0
1519,0
2132,0
2177,0
5452,0
2898,0
7036,0
7566,0
2534,0
4157,0
5957,0
4813,0
5953,0
4838,0
3303,0
1236,0
793,0
6276,0
2147,0
6263,0
4887,0
5689,0
6888,0
3407,0
6127,0
6606,0
799,0
7764,0
562,0
95,0
3176,0
2443,0
3175,0
461,0
314,0
5453,0
7606,0
7443,0
2600,0
1177,0
6492,0
5242,0
4553,0
5850,0
2639,0
4613,0
8259,0
4671,0
8338,0
6940,0
5085,0
4344,0
1544,0
1996,0
1067,0
556,0
1176,0
4925,0
1012,0
2244,0
2591,0
4757,0
1471,0
8298,0
5002,0
6010,0
7935,0
1191,0
7816,0
8223,0
2626,0
3619,0
5553,0
817,0
1329,0
2323,0
5942,0
7095,0
5571,0
3731,0
3791,0
3365,0
3873,0
253,0
1737,0
3460,0
3608,0
3673,0
1752,0
2672,0
500,0
5992,0
8047,0
1875,0
3074,0
4034,0
1850,0
507,0
3297,0
6471,0
8199,0
4164,0
1021,0
4696,0
7717,0
4744,0
4026,0
7697,0
3672,0
6656,0
2478,0
1225,0
7883,0
4291,0
3066,0
565,0
488,0
104,0
4874,0
7162,0
3140,0
7558,0
1581,0
1958,0
5679,0
3935,0
8243,0
5617,0
5030,0
4474,0
3719,0
383,0
1358,0
3296,0
1542,0
2625,0
4826,0
4836,0
7721,0
8119,0
6925,0
4428,0
3864,0
7332,0
5456,0
5994,0
1141,0
4752,0
813,0
2772,0
3242,0
5356,0
5891,0
3461,0
3914,0
5611,0
1680,0
5729,0
5835,0
7819,0
6749,0
7792,0
4032,0
261,0
6475,0
