p0,p1,d3mIndex
1.0,0.0,50
1.0,0.0,51
1.0,0.0,52
1.0,0.0,53
1.0,0.0,54
1.0,0.0,91
1.0,0.0,92
1.0,0.0,93
1.0,0.0,94
1.0,0.0,95
1.0,0.0,96
0.96,0.040000000000000036,97
0.89,0.11,98
0.98,0.020000000000000014,99
1.0,0.0,100
0.98,0.020000000000000014,101
1.0,0.0,102
1.0,0.0,103
1.0,0.0,104
1.0,0.0,105
1.0,0.0,106
1.0,0.0,107
0.96,0.040000000000000036,108
1.0,0.0,109
1.0,0.0,129
0.98,0.020000000000000014,130
1.0,0.0,131
1.0,0.0,132
1.0,0.0,133
1.0,0.0,134
1.0,0.0,135
1.0,0.0,136
0.98,0.020000000000000014,137
1.0,0.0,138
1.0,0.0,139
1.0,0.0,140
1.0,0.0,141
1.0,0.0,142
0.99,0.010000000000000007,143
1.0,0.0,144
0.98,0.020000000000000014,145
1.0,0.0,146
0.94,0.06000000000000005,147
1.0,0.0,148
1.0,0.0,149
1.0,0.0,150
1.0,0.0,151
1.0,0.0,152
0.96,0.040000000000000036,153
1.0,0.0,154
1.0,0.0,155
1.0,0.0,156
1.0,0.0,157
0.98,0.020000000000000014,173
1.0,0.0,174
0.96,0.040000000000000036,176
1.0,0.0,177
0.98,0.020000000000000014,178
0.96,0.040000000000000036,179
1.0,0.0,180
1.0,0.0,181
1.0,0.0,182
1.0,0.0,183
0.98,0.020000000000000014,184
0.98,0.020000000000000014,185
0.98,0.020000000000000014,186
1.0,0.0,187
1.0,0.0,188
0.98,0.020000000000000014,189
1.0,0.0,190
1.0,0.0,191
1.0,0.0,192
1.0,0.0,250
1.0,0.0,251
1.0,0.0,252
1.0,0.0,253
0.96,0.040000000000000036,254
0.98,0.020000000000000014,255
1.0,0.0,256
1.0,0.0,257
1.0,0.0,258
1.0,0.0,259
1.0,0.0,260
1.0,0.0,261
0.82,0.18000000000000005,262
0.47,0.53,263
0.96,0.040000000000000036,264
0.98,0.020000000000000014,265
0.98,0.020000000000000014,266
1.0,0.0,293
1.0,0.0,294
1.0,0.0,295
1.0,0.0,296
1.0,0.0,297
1.0,0.0,298
1.0,0.0,299
1.0,0.0,300
1.0,0.0,301
1.0,0.0,302
1.0,0.0,303
1.0,0.0,304
1.0,0.0,305
1.0,0.0,306
1.0,0.0,307
1.0,0.0,308
1.0,0.0,309
1.0,0.0,310
1.0,0.0,311
1.0,0.0,312
1.0,0.0,313
1.0,0.0,314
1.0,0.0,315
1.0,0.0,316
1.0,0.0,317
1.0,0.0,318
1.0,0.0,319
1.0,0.0,320
1.0,0.0,321
1.0,0.0,348
1.0,0.0,349
1.0,0.0,350
1.0,0.0,351
1.0,0.0,352
1.0,0.0,353
1.0,0.0,354
1.0,0.0,355
1.0,0.0,356
1.0,0.0,357
1.0,0.0,358
1.0,0.0,359
1.0,0.0,360
1.0,0.0,361
1.0,0.0,362
1.0,0.0,363
1.0,0.0,364
1.0,0.0,365
1.0,0.0,366
0.98,0.020000000000000014,367
1.0,0.0,368
1.0,0.0,369
1.0,0.0,370
1.0,0.0,371
1.0,0.0,372
1.0,0.0,373
1.0,0.0,374
1.0,0.0,375
1.0,0.0,376
0.98,0.020000000000000014,378
1.0,0.0,379
1.0,0.0,380
1.0,0.0,381
1.0,0.0,382
1.0,0.0,383
1.0,0.0,384
1.0,0.0,385
1.0,0.0,386
0.98,0.020000000000000014,387
1.0,0.0,388
0.98,0.020000000000000014,389
1.0,0.0,390
1.0,0.0,391
1.0,0.0,392
1.0,0.0,393
1.0,0.0,394
1.0,0.0,395
1.0,0.0,443
1.0,0.0,444
1.0,0.0,445
1.0,0.0,446
1.0,0.0,447
1.0,0.0,448
0.96,0.040000000000000036,449
1.0,0.0,450
1.0,0.0,451
1.0,0.0,452
0.98,0.020000000000000014,453
1.0,0.0,454
0.88,0.12,455
1.0,0.0,456
0.98,0.020000000000000014,457
0.96,0.040000000000000036,458
1.0,0.0,459
0.98,0.020000000000000014,460
1.0,0.0,461
1.0,0.0,462
1.0,0.0,463
1.0,0.0,464
1.0,0.0,465
1.0,0.0,466
1.0,0.0,467
1.0,0.0,468
0.96,0.040000000000000036,469
0.96,0.040000000000000036,470
1.0,0.0,471
0.41,0.5900000000000001,487
0.98,0.020000000000000014,488
0.98,0.020000000000000014,489
0.85,0.15000000000000002,490
0.9333333337306976,0.0666666662693024,491
1.0,0.0,492
0.98,0.020000000000000014,493
0.92,0.07999999999999996,494
1.0,0.0,495
1.0,0.0,496
1.0,0.0,497
1.0,0.0,498
0.96,0.040000000000000036,499
1.0,0.0,500
1.0,0.0,501
0.96,0.040000000000000036,502
0.94,0.06000000000000005,503
0.28,0.72,504
0.88,0.12,505
0.36,0.64,506
1.0,0.0,507
0.9,0.09999999999999998,508
0.94,0.06000000000000005,509
0.92,0.07999999999999996,510
1.0,0.0,556
0.96,0.040000000000000036,557
0.93,0.06999999999999995,558
1.0,0.0,559
1.0,0.0,560
0.96,0.040000000000000036,561
0.98,0.020000000000000014,562
1.0,0.0,563
1.0,0.0,564
1.0,0.0,565
0.96,0.040000000000000036,566
1.0,0.0,567
0.98,0.020000000000000014,568
0.38,0.62,569
0.94,0.06000000000000005,570
1.0,0.0,571
1.0,0.0,572
1.0,0.0,573
1.0,0.0,600
1.0,0.0,601
1.0,0.0,602
1.0,0.0,603
1.0,0.0,604
1.0,0.0,605
1.0,0.0,606
1.0,0.0,607
1.0,0.0,608
1.0,0.0,609
1.0,0.0,610
1.0,0.0,611
1.0,0.0,612
1.0,0.0,613
1.0,0.0,614
1.0,0.0,615
1.0,0.0,616
1.0,0.0,617
1.0,0.0,618
1.0,0.0,619
1.0,0.0,620
1.0,0.0,621
1.0,0.0,622
1.0,0.0,623
1.0,0.0,624
1.0,0.0,625
0.98,0.020000000000000014,626
1.0,0.0,627
1.0,0.0,628
1.0,0.0,690
1.0,0.0,691
1.0,0.0,692
1.0,0.0,693
0.96,0.040000000000000036,694
1.0,0.0,695
1.0,0.0,696
1.0,0.0,697
1.0,0.0,698
1.0,0.0,699
1.0,0.0,700
1.0,0.0,701
1.0,0.0,702
1.0,0.0,703
1.0,0.0,704
0.96,0.040000000000000036,705
1.0,0.0,706
0.94,0.06000000000000005,707
1.0,0.0,734
1.0,0.0,735
1.0,0.0,736
1.0,0.0,737
1.0,0.0,738
0.98,0.020000000000000014,739
0.98,0.020000000000000014,740
0.98,0.020000000000000014,741
1.0,0.0,742
1.0,0.0,743
0.98,0.020000000000000014,744
1.0,0.0,745
0.98,0.020000000000000014,746
1.0,0.0,747
0.98,0.020000000000000014,748
1.0,0.0,749
0.98,0.020000000000000014,750
1.0,0.0,751
1.0,0.0,752
1.0,0.0,753
1.0,0.0,754
0.96,0.040000000000000036,755
1.0,0.0,756
1.0,0.0,757
1.0,0.0,758
1.0,0.0,759
0.96,0.040000000000000036,760
1.0,0.0,761
0.96,0.040000000000000036,762
1.0,0.0,789
0.98,0.020000000000000014,790
0.98,0.020000000000000014,791
0.38,0.62,792
1.0,0.0,793
0.98,0.020000000000000014,794
0.96,0.040000000000000036,795
1.0,0.0,796
0.98,0.020000000000000014,797
0.98,0.020000000000000014,798
1.0,0.0,799
0.96,0.040000000000000036,800
1.0,0.0,801
1.0,0.0,802
1.0,0.0,803
1.0,0.0,804
0.94,0.06000000000000005,805
0.92,0.07999999999999996,806
0.98,0.020000000000000014,807
0.96,0.040000000000000036,808
0.8,0.2,809
0.22,0.78,810
0.14,0.86,811
0.31,0.69,812
0.91,0.08999999999999997,813
0.99,0.010000000000000007,814
0.99,0.010000000000000007,815
0.98,0.020000000000000014,816
0.96,0.040000000000000036,817
1.0,0.0,831
1.0,0.0,832
1.0,0.0,833
1.0,0.0,834
1.0,0.0,835
1.0,0.0,851
