d3mIndex,p_0,p_1
3071.0,0.5,0.5
4139.0,0.5,0.5
6511.0,0.5,0.5
3343.0,0.5,0.5
7223.0,0.5,0.5
381.0,0.5,0.5
3136.0,0.5,0.5
3327.0,0.5,0.5
8127.0,0.5,0.5
8328.0,0.5,0.5
4399.0,0.5,0.5
1391.0,0.5,0.5
5061.0,0.5,0.5
6145.0,0.5,0.5
223.0,0.5,0.5
7735.0,0.5,0.5
1662.0,0.5,0.5
5812.0,0.5,0.5
5753.0,0.5,0.5
3357.0,0.5,0.5
,0.5,0.5
,0.5,0.5
7266.0,0.5,0.5
4183.0,0.5,0.5
7495.0,0.5,0.5
3524.0,0.5,0.5
361.0,0.5,0.5
1778.0,0.5,0.5
3032.0,0.5,0.5
,0.5,0.5
5963.0,0.5,0.5
,0.5,0.5
2731.0,0.5,0.5
4209.0,0.5,0.5
7827.0,0.5,0.5
2259.0,0.5,0.5
977.0,0.5,0.5
6644.0,0.5,0.5
7159.0,0.5,0.5
2278.0,0.5,0.5
,0.5,0.5
349.0,0.5,0.5
3380.0,0.5,0.5
5695.0,0.5,0.5
5035.0,0.5,0.5
,0.5,0.5
621.0,0.5,0.5
5367.0,0.5,0.5
216.0,0.5,0.5
1106.0,0.5,0.5
4477.0,0.5,0.5
2811.0,0.5,0.5
1327.0,0.5,0.5
2459.0,0.5,0.5
,0.5,0.5
,0.5,0.5
867.0,0.5,0.5
1586.0,0.5,0.5
5307.0,0.5,0.5
4109.0,0.5,0.5
7550.0,0.5,0.5
4100.0,0.5,0.5
1979.0,0.5,0.5
1245.0,0.5,0.5
4543.0,0.5,0.5
2001.0,0.5,0.5
465.0,0.5,0.5
7044.0,0.5,0.5
7081.0,0.5,0.5
5904.0,0.5,0.5
5032.0,0.5,0.5
3790.0,0.5,0.5
1171.0,0.5,0.5
,0.5,0.5
3335.0,0.5,0.5
6730.0,0.5,0.5
7510.0,0.5,0.5
3931.0,0.5,0.5
6226.0,0.5,0.5
1840.0,0.5,0.5
,0.5,0.5
2764.0,0.5,0.5
2716.0,0.5,0.5
803.0,0.5,0.5
,0.5,0.5
7678.0,0.5,0.5
1669.0,0.5,0.5
,0.5,0.5
4534.0,0.5,0.5
,0.5,0.5
,0.5,0.5
1593.0,0.5,0.5
2215.0,0.5,0.5
7273.0,0.5,0.5
348.0,0.5,0.5
6604.0,0.5,0.5
3724.0,0.5,0.5
7238.0,0.5,0.5
5018.0,0.5,0.5
2768.0,0.5,0.5
5153.0,0.5,0.5
6135.0,0.5,0.5
6008.0,0.5,0.5
3112.0,0.5,0.5
7840.0,0.5,0.5
8025.0,0.5,0.5
1338.0,0.5,0.5
,0.5,0.5
4661.0,0.5,0.5
925.0,0.5,0.5
4310.0,0.5,0.5
4938.0,0.5,0.5
2841.0,0.5,0.5
1465.0,0.5,0.5
1371.0,0.5,0.5
,0.5,0.5
3994.0,0.5,0.5
682.0,0.5,0.5
,0.5,0.5
7005.0,0.5,0.5
3585.0,0.5,0.5
6240.0,0.5,0.5
4265.0,0.5,0.5
7756.0,0.5,0.5
596.0,0.5,0.5
7176.0,0.5,0.5
3200.0,0.5,0.5
6563.0,0.5,0.5
6050.0,0.5,0.5
3784.0,0.5,0.5
2915.0,0.5,0.5
5677.0,0.5,0.5
30.0,0.5,0.5
3789.0,0.5,0.5
,0.5,0.5
6035.0,0.5,0.5
7055.0,0.5,0.5
3740.0,0.5,0.5
,0.5,0.5
3382.0,0.5,0.5
871.0,0.5,0.5
1392.0,0.5,0.5
1864.0,0.5,0.5
,0.5,0.5
7112.0,0.5,0.5
1042.0,0.5,0.5
1116.0,0.5,0.5
2211.0,0.5,0.5
7412.0,0.5,0.5
,0.5,0.5
8107.0,0.5,0.5
6523.0,0.5,0.5
828.0,0.5,0.5
5996.0,0.5,0.5
2887.0,0.5,0.5
6771.0,0.5,0.5
4540.0,0.5,0.5
8379.0,0.5,0.5
1965.0,0.5,0.5
,0.5,0.5
,0.5,0.5
,0.5,0.5
6709.0,0.5,0.5
4763.0,0.5,0.5
3212.0,0.5,0.5
951.0,0.5,0.5
570.0,0.5,0.5
8157.0,0.5,0.5
1736.0,0.5,0.5
4852.0,0.5,0.5
1041.0,0.5,0.5
4198.0,0.5,0.5
8164.0,0.5,0.5
3363.0,0.5,0.5
8261.0,0.5,0.5
5997.0,0.5,0.5
3696.0,0.5,0.5
114.0,0.5,0.5
1625.0,0.5,0.5
872.0,0.5,0.5
7864.0,0.5,0.5
666.0,0.5,0.5
4772.0,0.5,0.5
6593.0,0.5,0.5
3302.0,0.5,0.5
6558.0,0.5,0.5
3910.0,0.5,0.5
,0.5,0.5
4981.0,0.5,0.5
6157.0,0.5,0.5
238.0,0.5,0.5
1524.0,0.5,0.5
,0.5,0.5
2165.0,0.5,0.5
2553.0,0.5,0.5
8355.0,0.5,0.5
4536.0,0.5,0.5
1828.0,0.5,0.5
2686.0,0.5,0.5
2972.0,0.5,0.5
2890.0,0.5,0.5
,0.5,0.5
,0.5,0.5
17.0,0.5,0.5
,0.5,0.5
5962.0,0.5,0.5
7776.0,0.5,0.5
2374.0,0.5,0.5
3225.0,0.5,0.5
2368.0,0.5,0.5
965.0,0.5,0.5
6766.0,0.5,0.5
172.0,0.5,0.5
1428.0,0.5,0.5
5780.0,0.5,0.5
2433.0,0.5,0.5
483.0,0.5,0.5
7306.0,0.5,0.5
,0.5,0.5
36.0,0.5,0.5
6126.0,0.5,0.5
3432.0,0.5,0.5
4919.0,0.5,0.5
,0.5,0.5
,0.5,0.5
,0.5,0.5
,0.5,0.5
6876.0,0.5,0.5
2552.0,0.5,0.5
1155.0,0.5,0.5
7534.0,0.5,0.5
,0.5,0.5
1045.0,0.5,0.5
5889.0,0.5,0.5
3617.0,0.5,0.5
1083.0,0.5,0.5
6617.0,0.5,0.5
4976.0,0.5,0.5
3114.0,0.5,0.5
4390.0,0.5,0.5
1302.0,0.5,0.5
2931.0,0.5,0.5
6674.0,0.5,0.5
2058.0,0.5,0.5
,0.5,0.5
376.0,0.5,0.5
5980.0,0.5,0.5
873.0,0.5,0.5
6236.0,0.5,0.5
6651.0,0.5,0.5
,0.5,0.5
2284.0,0.5,0.5
8332.0,0.5,0.5
4430.0,0.5,0.5
3169.0,0.5,0.5
7166.0,0.5,0.5
2148.0,0.5,0.5
607.0,0.5,0.5
7705.0,0.5,0.5
6111.0,0.5,0.5
6502.0,0.5,0.5
1732.0,0.5,0.5
3759.0,0.5,0.5
2161.0,0.5,0.5
4659.0,0.5,0.5
8267.0,0.5,0.5
7548.0,0.5,0.5
1037.0,0.5,0.5
,0.5,0.5
5877.0,0.5,0.5
825.0,0.5,0.5
856.0,0.5,0.5
,0.5,0.5
2525.0,0.5,0.5
5095.0,0.5,0.5
4686.0,0.5,0.5
7270.0,0.5,0.5
