d3mIndex,p_0,p_1
2.0,0.5,0.5
805.111111111111,0.5,0.5
1608.22222222222,0.5,0.5
2411.3333333333303,0.5,0.5
3214.44444444444,0.5,0.5
4017.55555555556,0.5,0.5
4820.666666666671,0.5,0.5
5623.777777777779,0.5,0.5
6426.8888888888905,0.5,0.5
7230.0,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
3643.5,0.5,0.5
