p0,p1,d3mIndex
1.0,0.0,333
0.98,0.020000000000000014,7000
1.0,0.0,690
1.0,0.0,3354
1.0,0.0,854
0.9533333337306976,0.04666666626930238,4298
1.0,0.0,3488
0.94,0.06000000000000005,5150
1.0,0.0,4237
1.0,0.0,1606
1.0,0.0,480
1.0,0.0,6681
1.0,0.0,2898
1.0,0.0,2102
1.0,0.0,446
0.9995348834991457,0.0004651165008544567,6740
0.9987878787517548,0.0012121212482452124,1273
0.98,0.020000000000000014,552
1.0,0.0,549
0.96,0.040000000000000036,6747
1.0,0.0,5532
1.0,0.0,3673
0.98,0.020000000000000014,6668
1.0,0.0,5747
1.0,0.0,1212
1.0,0.0,2089
0.98,0.020000000000000014,6751
0.9933333337306977,0.006666666269302346,5065
1.0,0.0,2242
1.0,0.0,4565
0.9779999995231629,0.022000000476837145,1231
1.0,0.0,5077
1.0,0.0,4631
1.0,0.0,5997
1.0,0.0,3740
1.0,0.0,4261
0.98,0.020000000000000014,6991
1.0,0.0,789
1.0,0.0,561
1.0,0.0,298
1.0,0.0,5887
0.98,0.020000000000000014,1299
1.0,0.0,3161
0.98,0.020000000000000014,4513
1.0,0.0,4431
1.0,0.0,6197
1.0,0.0,2571
0.98,0.020000000000000014,3583
1.0,0.0,3453
1.0,0.0,5329
1.0,0.0,6649
1.0,0.0,7099
1.0,0.0,1846
0.32,0.6799999999999999,4929
1.0,0.0,3558
1.0,0.0,2079
1.0,0.0,3214
0.94,0.06000000000000005,1804
1.0,0.0,5174
0.98,0.020000000000000014,3053
1.0,0.0,3739
1.0,0.0,1197
1.0,0.0,896
1.0,0.0,18
1.0,0.0,2260
0.9,0.09999999999999998,3728
0.98,0.020000000000000014,1994
0.98,0.020000000000000014,5327
0.97,0.030000000000000027,1303
1.0,0.0,474
1.0,0.0,1789
1.0,0.0,6247
0.98,0.020000000000000014,6374
0.9995348834991457,0.0004651165008544567,2133
1.0,0.0,567
0.98,0.020000000000000014,2601
1.0,0.0,1149
0.98,0.020000000000000014,2776
1.0,0.0,5796
1.0,0.0,3626
1.0,0.0,6208
0.9795348834991456,0.020465116500854474,4894
1.0,0.0,6179
0.3666666668653488,0.6333333331346511,6091
1.0,0.0,4349
0.98,0.020000000000000014,1596
1.0,0.0,4780
1.0,0.0,5805
1.0,0.0,1493
1.0,0.0,4664
1.0,0.0,2265
1.0,0.0,5895
1.0,0.0,6618
1.0,0.0,2183
1.0,0.0,2115
0.94,0.06000000000000005,1430
0.98,0.020000000000000014,6080
1.0,0.0,669
1.0,0.0,5339
0.98,0.020000000000000014,5211
1.0,0.0,6882
1.0,0.0,829
0.9583227622509004,0.041677237749099705,5045
1.0,0.0,453
1.0,0.0,3181
0.98,0.020000000000000014,2630
1.0,0.0,1521
1.0,0.0,2621
1.0,0.0,2875
1.0,0.0,6153
1.0,0.0,5777
1.0,0.0,1367
1.0,0.0,7150
1.0,0.0,3896
0.96,0.040000000000000036,4172
1.0,0.0,4673
1.0,0.0,4519
1.0,0.0,2139
1.0,0.0,598
1.0,0.0,3970
0.44,0.56,4411
1.0,0.0,5079
0.35333333373069764,0.6466666662693024,2368
1.0,0.0,6684
1.0,0.0,2701
0.96,0.040000000000000036,1393
1.0,0.0,7148
1.0,0.0,3202
1.0,0.0,866
1.0,0.0,2436
1.0,0.0,3471
1.0,0.0,5167
1.0,0.0,5136
1.0,0.0,6992
0.98,0.020000000000000014,4229
1.0,0.0,1194
0.98,0.020000000000000014,6030
1.0,0.0,5235
0.98,0.020000000000000014,710
1.0,0.0,6162
1.0,0.0,1556
1.0,0.0,1431
1.0,0.0,4447
1.0,0.0,1390
1.0,0.0,3432
1.0,0.0,1223
1.0,0.0,64
0.3633333337306977,0.6366666662693024,5309
1.0,0.0,2972
1.0,0.0,1395
0.9783227622509004,0.021677237749099687,3712
1.0,0.0,4816
1.0,0.0,6498
1.0,0.0,1272
0.98,0.020000000000000014,3464
1.0,0.0,2915
0.98,0.020000000000000014,5177
1.0,0.0,5629
1.0,0.0,4244
1.0,0.0,5838
1.0,0.0,3203
0.96,0.040000000000000036,2350
0.98,0.020000000000000014,3774
1.0,0.0,6901
0.96,0.040000000000000036,6806
1.0,0.0,5202
1.0,0.0,6326
1.0,0.0,6555
1.0,0.0,491
1.0,0.0,2240
1.0,0.0,3540
0.98,0.020000000000000014,5467
1.0,0.0,3710
1.0,0.0,463
1.0,0.0,6960
1.0,0.0,3497
1.0,0.0,1767
0.975,0.025000000000000026,2755
1.0,0.0,3568
0.98,0.020000000000000014,5522
0.96,0.040000000000000036,3169
1.0,0.0,4596
1.0,0.0,2201
0.98,0.020000000000000014,5318
1.0,0.0,5684
1.0,0.0,3805
0.98,0.020000000000000014,1989
0.96,0.040000000000000036,6952
1.0,0.0,1203
1.0,0.0,1418
1.0,0.0,6344
0.9995348834991457,0.0004651165008544567,5585
1.0,0.0,4520
0.9795348834991456,0.020465116500854474,3101
0.98,0.020000000000000014,1519
1.0,0.0,2132
1.0,0.0,3875
1.0,0.0,2177
1.0,0.0,1569
1.0,0.0,218
1.0,0.0,3660
1.0,0.0,5454
1.0,0.0,5450
1.0,0.0,6663
1.0,0.0,5676
1.0,0.0,4788
0.98,0.020000000000000014,1275
1.0,0.0,763
0.9795348834991456,0.020465116500854474,5053
0.98,0.020000000000000014,5236
1.0,0.0,325
0.4387878787517547,0.5612121212482453,6702
1.0,0.0,4649
1.0,0.0,4973
1.0,0.0,4254
0.8485714286565781,0.1514285713434219,655
0.99,0.010000000000000007,6349
1.0,0.0,6117
1.0,0.0,428
0.9351428568363188,0.06485714316368107,1236
1.0,0.0,3184
0.98,0.020000000000000014,727
1.0,0.0,2147
0.98,0.020000000000000014,5244
1.0,0.0,1763
1.0,0.0,2406
0.9995348834991457,0.0004651165008544567,5583
1.0,0.0,4218
1.0,0.0,4670
1.0,0.0,6194
1.0,0.0,242
0.98,0.020000000000000014,1507
1.0,0.0,4425
1.0,0.0,4216
1.0,0.0,6581
1.0,0.0,5082
1.0,0.0,1990
0.46,0.54,799
1.0,0.0,3553
0.98,0.020000000000000014,5422
1.0,0.0,562
1.0,0.0,4321
0.98,0.020000000000000014,95
1.0,0.0,1050
1.0,0.0,4632
0.98,0.020000000000000014,461
1.0,0.0,314
1.0,0.0,6165
0.98,0.020000000000000014,1620
1.0,0.0,2531
1.0,0.0,3981
1.0,0.0,2966
1.0,0.0,3234
1.0,0.0,5033
0.94,0.06000000000000005,4086
0.9728682172298432,0.02713178277015682,6229
1.0,0.0,2894
1.0,0.0,1177
1.0,0.0,5373
0.9587878787517548,0.04121212124824525,6699
1.0,0.0,4848
1.0,0.0,4386
1.0,0.0,3132
1.0,0.0,4100
1.0,0.0,1587
1.0,0.0,4890
1.0,0.0,3637
1.0,0.0,117
1.0,0.0,2708
1.0,0.0,6983
0.96,0.040000000000000036,3731
1.0,0.0,7114
1.0,0.0,3833
1.0,0.0,3991
1.0,0.0,1544
1.0,0.0,1996
1.0,0.0,1067
1.0,0.0,3683
1.0,0.0,2655
0.96,0.040000000000000036,556
1.0,0.0,6192
0.9995348834991457,0.0004651165008544567,1002
1.0,0.0,1176
1.0,0.0,2700
0.988571428656578,0.0114285713434219,1012
1.0,0.0,2244
1.0,0.0,5857
0.98,0.020000000000000014,7219
1.0,0.0,1471
1.0,0.0,5154
1.0,0.0,3157
1.0,0.0,1346
1.0,0.0,953
1.0,0.0,788
1.0,0.0,2647
0.98,0.020000000000000014,4732
1.0,0.0,1191
1.0,0.0,7088
1.0,0.0,6911
0.997142857313156,0.0028571426868438947,203
0.98,0.020000000000000014,6095
1.0,0.0,3281
0.9995348834991457,0.0004651165008544567,1005
1.0,0.0,5834
1.0,0.0,1424
0.9,0.09999999999999998,435
1.0,0.0,5794
1.0,0.0,4030
0.96,0.040000000000000036,817
1.0,0.0,6478
0.98,0.020000000000000014,2841
1.0,0.0,658
1.0,0.0,1329
1.0,0.0,4937
1.0,0.0,636
1.0,0.0,2468
1.0,0.0,2323
0.27,0.73,245
1.0,0.0,5418
1.0,0.0,4662
1.0,0.0,4877
0.98,0.020000000000000014,2735
1.0,0.0,253
1.0,0.0,1114
1.0,0.0,1151
0.9995348834991457,0.0004651165008544567,5303
1.0,0.0,1737
0.96,0.040000000000000036,4601
1.0,0.0,5377
0.96,0.040000000000000036,5073
1.0,0.0,3338
0.96,0.040000000000000036,3474
0.98,0.020000000000000014,1752
1.0,0.0,3750
0.96,0.040000000000000036,5775
1.0,0.0,500
0.98,0.020000000000000014,726
1.0,0.0,5004
1.0,0.0,1691
1.0,0.0,5902
1.0,0.0,1119
0.98,0.020000000000000014,2066
1.0,0.0,4062
0.3471428573131561,0.6528571426868439,1875
1.0,0.0,6640
0.94761904835701,0.052380951642990066,2804
0.9795348834991456,0.020465116500854474,4117
0.98,0.020000000000000014,2853
1.0,0.0,2923
1.0,0.0,1850
1.0,0.0,507
1.0,0.0,3025
1.0,0.0,3376
1.0,0.0,5499
1.0,0.0,2518
0.9995348834991457,0.0004651165008544567,6734
0.98,0.020000000000000014,2613
1.0,0.0,3429
1.0,0.0,3679
1.0,0.0,5173
0.98,0.020000000000000014,3831
1.0,0.0,6708
1.0,0.0,6489
1.0,0.0,5372
0.98,0.020000000000000014,2847
1.0,0.0,6442
1.0,0.0,2591
0.98,0.020000000000000014,5572
1.0,0.0,285
1.0,0.0,2478
0.9684761905670166,0.03152380943298338,1225
1.0,0.0,4301
0.98,0.020000000000000014,4279
1.0,0.0,481
0.9933333337306977,0.006666666269302346,942
1.0,0.0,565
1.0,0.0,7131
1.0,0.0,488
0.9987878787517548,0.0012121212482452124,104
1.0,0.0,3725
0.33,0.6699999999999999,4068
1.0,0.0,5178
1.0,0.0,4639
1.0,0.0,1464
1.0,0.0,5970
1.0,0.0,4612
0.98,0.020000000000000014,1816
1.0,0.0,599
1.0,0.0,6765
1.0,0.0,2560
1.0,0.0,7133
1.0,0.0,649
1.0,0.0,4250
1.0,0.0,3490
1.0,0.0,1581
1.0,0.0,1958
1.0,0.0,5322
1.0,0.0,1285
0.34,0.6599999999999999,6954
1.0,0.0,689
1.0,0.0,6635
1.0,0.0,5492
1.0,0.0,3417
1.0,0.0,3855
1.0,0.0,2643
0.3,0.7,538
1.0,0.0,639
1.0,0.0,5875
1.0,0.0,2818
1.0,0.0,1786
1.0,0.0,383
1.0,0.0,5432
1.0,0.0,4162
1.0,0.0,3447
1.0,0.0,1358
1.0,0.0,2932
0.98,0.020000000000000014,1500
1.0,0.0,1542
0.21333333373069766,0.7866666662693024,2345
0.85,0.15000000000000002,7081
1.0,0.0,6351
1.0,0.0,5693
1.0,0.0,5105
0.9995348834991457,0.0004651165008544567,6266
1.0,0.0,1123
1.0,0.0,5770
0.98,0.020000000000000014,1293
1.0,0.0,2315
1.0,0.0,6472
1.0,0.0,2728
1.0,0.0,6591
1.0,0.0,3209
0.94,0.06000000000000005,5006
1.0,0.0,1141
1.0,0.0,6084
0.98,0.020000000000000014,3823
1.0,0.0,271
1.0,0.0,813
1.0,0.0,4739
1.0,0.0,3582
1.0,0.0,7123
0.96,0.040000000000000036,5588
1.0,0.0,4474
1.0,0.0,1680
1.0,0.0,57
1.0,0.0,4786
1.0,0.0,3403
1.0,0.0,6263
1.0,0.0,6314
1.0,0.0,6547
1.0,0.0,4677
1.0,0.0,6230
1.0,0.0,6157
1.0,0.0,1936
1.0,0.0,1419
0.94,0.06000000000000005,1250
0.96,0.040000000000000036,2851
0.98,0.020000000000000014,1934
1.0,0.0,261
0.96,0.040000000000000036,5999
1.0,0.0,5419
1.0,0.0,1706
1.0,0.0,4619
0.98,0.020000000000000014,1976
0.99,0.010000000000000007,440
0.96,0.040000000000000036,5141
1.0,0.0,2104
1.0,0.0,5078
1.0,0.0,619
0.9995348834991457,0.0004651165008544567,1288
0.73,0.27,7053
0.9987878787517548,0.0012121212482452124,157
1.0,0.0,4640
1.0,0.0,1075
1.0,0.0,3233
1.0,0.0,6389
1.0,0.0,3000
1.0,0.0,6844
1.0,0.0,3487
1.0,0.0,6474
0.9981818187236786,0.0018181812763213843,1165
1.0,0.0,3501
0.98,0.020000000000000014,173
0.9966666662693024,0.003333333730697663,3312
1.0,0.0,2419
1.0,0.0,1754
1.0,0.0,4990
1.0,0.0,3950
0.98,0.020000000000000014,1516
1.0,0.0,2382
0.96,0.040000000000000036,211
0.98,0.020000000000000014,628
1.0,0.0,410
1.0,0.0,3932
1.0,0.0,2493
1.0,0.0,1482
1.0,0.0,883
1.0,0.0,3684
1.0,0.0,7117
1.0,0.0,5476
1.0,0.0,906
1.0,0.0,1084
0.98,0.020000000000000014,3645
0.98,0.020000000000000014,1109
1.0,0.0,1559
0.96,0.040000000000000036,3643
1.0,0.0,3013
1.0,0.0,4442
0.98,0.020000000000000014,6078
1.0,0.0,3784
1.0,0.0,345
1.0,0.0,2946
1.0,0.0,2909
1.0,0.0,5981
1.0,0.0,5931
1.0,0.0,2268
1.0,0.0,3689
1.0,0.0,2142
1.0,0.0,4167
1.0,0.0,4388
1.0,0.0,5513
1.0,0.0,792
0.35,0.65,3699
1.0,0.0,3460
1.0,0.0,3162
1.0,0.0,3119
0.95,0.05000000000000005,45
1.0,0.0,6877
1.0,0.0,87
1.0,0.0,1744
1.0,0.0,2203
1.0,0.0,3369
1.0,0.0,2527
1.0,0.0,2464
1.0,0.0,5976
1.0,0.0,5234
1.0,0.0,4885
1.0,0.0,1081
0.96,0.040000000000000036,5571
0.98,0.020000000000000014,4913
1.0,0.0,1505
1.0,0.0,4465
1.0,0.0,7205
1.0,0.0,3055
0.98,0.020000000000000014,2998
1.0,0.0,4426
1.0,0.0,1998
1.0,0.0,5900
1.0,0.0,2210
1.0,0.0,5002
1.0,0.0,2843
0.9987878787517548,0.0012121212482452124,985
1.0,0.0,1069
1.0,0.0,1755
1.0,0.0,2154
1.0,0.0,4247
1.0,0.0,4318
1.0,0.0,2533
1.0,0.0,5098
0.9895348834991456,0.010465116500854466,2440
1.0,0.0,4026
1.0,0.0,6353
1.0,0.0,3297
1.0,0.0,3786
1.0,0.0,3554
1.0,0.0,4362
0.98,0.020000000000000014,2032
1.0,0.0,996
0.9995348834991457,0.0004651165008544567,4118
0.9995348834991457,0.0004651165008544567,5135
0.88,0.12,6144
1.0,0.0,5687
1.0,0.0,1698
1.0,0.0,6771
1.0,0.0,5032
1.0,0.0,892
1.0,0.0,4156
1.0,0.0,5812
0.8295348834991455,0.1704651165008545,4127
1.0,0.0,5175
1.0,0.0,135
1.0,0.0,4284
1.0,0.0,384
0.91,0.08999999999999997,4138
0.98,0.020000000000000014,7178
0.988571428656578,0.0114285713434219,5161
1.0,0.0,4806
0.9933333337306977,0.006666666269302346,2706
1.0,0.0,2939
1.0,0.0,3239
0.96,0.040000000000000036,3706
0.98,0.020000000000000014,108
1.0,0.0,1318
1.0,0.0,576
1.0,0.0,4400
1.0,0.0,1298
1.0,0.0,4402
0.98,0.020000000000000014,6537
1.0,0.0,1969
0.98,0.020000000000000014,5031
1.0,0.0,320
1.0,0.0,6063
0.98,0.020000000000000014,6363
