d3mIndex,p_0,p_1
0,0.9978439,0.0021561023
1,0.9934736,0.0065264157
2,0.9934736,0.0065264157
3,0.9958838,0.004116174
4,0.98053414,0.019465847
5,0.9909778,0.009022176
6,0.99616885,0.0038311712
7,0.99616885,0.0038311712
8,0.97807413,0.021925878
9,0.99616885,0.0038311712
10,0.99616885,0.0038311712
11,0.99616885,0.0038311712
12,0.9970331,0.0029668685
13,0.9978377,0.002162289
14,0.9986097,0.00139027
15,0.9986097,0.00139027
16,0.9971682,0.0028318267
17,0.99426043,0.0057395943
18,0.98985803,0.010141951
19,0.9959938,0.0040062005
20,0.9986097,0.00139027
21,0.99674547,0.003254562
22,0.9986097,0.00139027
23,0.9926921,0.007307892
24,0.9986097,0.00139027
25,0.9949801,0.005019921
26,0.99616885,0.0038311712
27,0.9732199,0.02678013
28,0.99616885,0.0038311712
29,0.99616885,0.0038311712
30,0.99802303,0.001976963
31,0.9986097,0.00139027
32,0.9986097,0.00139027
33,0.9971825,0.0028175414
34,0.9990958,0.00090420555
35,0.9971825,0.0028175414
36,0.9971825,0.0028175414
37,0.99037975,0.009620241
38,0.9971825,0.0028175414
39,0.9942695,0.0057305293
40,0.9960441,0.003955888
41,0.99666643,0.0033335437
42,0.99796236,0.0020376444
43,0.95944315,0.040556867
44,0.98720753,0.012792482
45,0.997603,0.0023969975
46,0.9806192,0.019380832
47,0.9336436,0.06635644
48,0.98865694,0.011343057
49,0.9557085,0.044291496
50,0.99801666,0.0019833248
51,0.989601,0.010398972
52,0.99801666,0.0019833248
53,0.99586666,0.004133371
54,0.99801666,0.0019833248
55,0.99801666,0.0019833248
56,0.9915869,0.0084130615
57,0.99586666,0.004133371
58,0.99845415,0.0015458204
59,0.99801666,0.0019833248
60,0.9800088,0.0199912
61,0.99847674,0.0015232466
62,0.99801666,0.0019833248
63,0.99152684,0.008473168
64,0.9974883,0.0025116594
65,0.9800088,0.0199912
66,0.9927867,0.0072133043
67,0.9829876,0.017012442
68,0.9927867,0.0072133043
69,0.9963975,0.0036025005
70,0.99724936,0.0027506407
71,0.99724936,0.0027506407
72,0.9927867,0.0072133043
73,0.99521327,0.004786705
74,0.9938444,0.0061555905
75,0.9892988,0.010701161
76,0.9934293,0.006570689
77,0.9869117,0.013088272
78,0.9737157,0.026284305
79,0.98394066,0.016059319
80,0.9917819,0.008218088
81,0.9917819,0.008218088
82,0.9889645,0.011035479
83,0.9956944,0.0043056
84,0.9956944,0.0043056
85,0.9938932,0.006106814
86,0.9994367,0.00056333403
87,0.99539506,0.004604945
88,0.99932986,0.00067012664
89,0.98745525,0.012544755
90,0.93875456,0.06124545
91,0.9841516,0.015848387
92,0.9955084,0.004491654
93,0.99821556,0.0017844186
94,0.9989535,0.0010464854
95,0.99228966,0.0077103497
96,0.9831257,0.016874332
97,0.99282897,0.007171034
98,0.96844757,0.03155245
99,0.99539936,0.004600656
100,0.9994368,0.00056320196
101,0.9989123,0.0010877444
102,0.99857295,0.0014270553
103,0.9949519,0.0050481004
104,0.9986468,0.0013531755
105,0.9986468,0.0013531755
106,0.99768966,0.0023103347
107,0.99712,0.002880003
108,0.9992005,0.00079949445
109,0.9965454,0.0034546102
110,0.99369544,0.006304589
111,0.9988016,0.0011984195
112,0.99912405,0.00087595626
113,0.99912405,0.00087595626
114,0.99912405,0.00087595626
115,0.99840814,0.0015918807
116,0.99552304,0.0044769533
117,0.9961502,0.0038497895
118,0.99029595,0.009704049
119,0.9976222,0.0023777797
120,0.9983365,0.0016635085
121,0.99349207,0.006507922
122,0.9868439,0.0131561225
123,0.9969075,0.0030925178
124,0.92201924,0.07798074
125,0.98828506,0.011714956
126,0.9693024,0.030697586
127,0.98827034,0.011729661
128,0.99675715,0.0032428717
129,0.99629533,0.0037046422
130,0.9966561,0.0033438683
131,0.99469286,0.0053071203
132,0.9960566,0.0039433553
133,0.9940071,0.0059928778
134,0.9940071,0.0059928778
135,0.99839693,0.0016030746
136,0.988368,0.011632012
137,0.9913189,0.0086811185
138,0.9913667,0.008633287
139,0.99977344,0.00022656827
140,0.9837662,0.016233776
141,0.9921269,0.0078731
142,0.97490096,0.025099047
143,0.93781614,0.06218387
