d3mIndex,log(wdi.pop),wdi.popurb.mi,I(wdi.manuf.mi + wdi.servs.mi),wdi.sch2.mi,log1p(wdi.mobp100),ios.gattwto,nvc.start.1
333,15.886934796787918,65.8,84.68972307682718,106.65974,1.5050878174143816,1.0,0.0
7000,14.523307898945214,25.253,69.39254243444,52.03724,4.1226334817137635,1.0,0.0
690,13.775528835316708,15.457,40.569577080491115,17.75149,0.0,0.0,0.0
3354,14.512358382686214,97.946,67.7631132601813,79.64869,0.6268833962433636,1.0,0.0
854,16.09958396204251,14.86,56.9704350595743,8.29025,0.0,1.0,0.0
4298,16.297577011544153,60.387,63.8234605913235,89.1738879166231,0.0,1.0,0.0
3488,14.800063494453347,82.76299999999998,84.2017007651982,74.72452409640121,0.0,0.0,0.0
5150,16.959741928336292,53.217,38.912860388520606,101.55786,0.0,1.0,0.0
4237,14.487588839844726,33.766,69.7967355390285,63.9075,2.158679284514811,1.0,0.0
1606,13.831206726070599,68.41,86.50362766274336,97.71512,4.18659386589389,1.0,0.0
480,16.102817735696078,95.196,66.86945935581446,88.47977,0.0,1.0,0.0
6681,15.183960143944036,27.791,38.5519922254616,7.14393482189549,0.0,0.0,0.0
2898,16.241401540873373,60.351000000000006,49.229109942582596,29.93797,0.0,0.0,0.0
2102,15.414186972638268,78.0,82.7414706702613,108.26818,1.3323787036081816,1.0,0.0
446,16.137309869882127,67.926,76.55302888636929,93.20909,0.05626285481567711,0.0,0.0
6740,16.304227688639973,32.534,73.51872290649919,43.17014,0.046503363161600884,1.0,0.0
1273,16.822921667645097,53.306,63.33698742088139,33.887330484637,0.0,0.0,0.0
552,15.81898100834591,38.969,61.170964612729385,25.29306,1.3738352511913976,1.0,0.0
549,15.723643328899847,38.015,59.54570808402198,20.79389,0.10241290348082537,1.0,0.0
6747,16.35656492119179,34.294000000000004,69.1188228273837,84.692555531664,1.4711315195086232,1.0,0.0
5532,16.888783426902602,47.70399999999999,75.9569805657566,60.119223792960604,0.0,1.0,0.0
3673,14.49202670639867,59.587,80.04487710676021,76.70759,0.0,0.0,0.0
6668,16.678998438925227,26.267,45.5370034074065,28.2951343849284,0.16793662836986528,0.0,0.0
5747,16.141104700810455,16.523,49.79288784681521,3.37549689766016,0.0,0.0,0.0
1212,16.62905478581131,87.926,65.62513062246191,89.91359,4.439352099086984,1.0,0.0
2089,15.365504151750025,67.831,75.4690460184563,106.28324,0.0,1.0,0.0
6751,16.363708154116967,33.56,66.1716421171764,55.9735907124901,2.635023914161171,1.0,0.0
5065,16.12045416747038,45.298,64.44570349143329,65.4727766325792,0.0,1.0,0.0
2242,13.460401530195744,32.007,64.02611705475141,17.86112,0.0,1.0,0.0
4565,16.716486228462056,57.346,86.57516815055929,60.039073969977295,0.0,0.0,0.0
1231,20.651431432124802,17.46,59.29010434043681,56.12003000000001,0.0,0.0,0.0
5077,16.12893439893329,52.428,84.499179240581,115.586061316252,2.760009079753849,1.0,0.0
4631,15.236230258559065,71.18,68.25698382005541,96.19267,0.6650788596685722,1.0,0.0
5997,16.21390488803103,5.704,40.533198021663715,8.34957076350137,0.0,1.0,0.0
3740,15.245186914005401,5.249,47.80323285362315,15.0188046007605,0.0,1.0,0.0
4261,16.392422006556274,5.061,26.011211678186488,12.53533,0.0,0.0,0.0
6991,15.690586447339973,34.251999999999995,43.241890815507965,43.60191,4.4431828088310645,0.0,0.0
789,15.991855554965179,60.326,74.88371387415171,92.33886,0.0,0.0,0.0
561,12.342995779690805,3.792,56.24783021726052,13.033117342420402,0.0,0.0,0.0
298,16.892440256864052,88.59,77.7157729232675,128.78038,4.62241082246632,1.0,0.0
5887,15.629746690444545,56.742,74.85274229006043,84.2576141204899,0.0,1.0,0.0
1299,17.396677677505455,70.199,68.6219099341057,62.07318000000001,0.21647556940968934,1.0,0.0
3161,14.791217464129131,52.99800000000001,78.4386994036115,65.1269731289906,4.446926661984522,1.0,0.0
4513,18.142679315826594,22.671,41.388493743970464,17.00856,0.0,1.0,0.0
4431,15.394339148554284,54.01600000000001,71.7333338902876,58.9221716960552,0.1448789928565726,1.0,0.0
6197,14.095048053207982,9.249,49.89249459889764,45.2923596203869,4.945978065743498,1.0,0.0
2571,13.506344685837623,28.959,42.253521608883204,48.953021639135706,0.17455847224246304,1.0,0.0
3583,14.541153969866352,58.0,38.7728148975682,8.39991128683301,0.0,0.0,0.0
3453,14.6322558339005,67.9,86.47102972080461,101.09538,4.2350766737577406,1.0,0.0
5329,14.744470297974805,23.969,47.75837659273244,1.03508910376234,0.0,1.0,0.0
6649,18.18014939728692,24.937,61.22315849835761,53.957507919365504,0.92857946226486,0.0,0.0
7099,17.45791883572685,60.892,83.31855776551689,97.2222,4.819598223849087,1.0,0.0
1846,17.960137329432907,42.658,69.39253849766021,76.9361,0.09859557900408823,1.0,0.0
4929,17.058551324521726,72.631,75.7300367466827,82.50273,1.600696470702666,1.0,1.0
3558,14.064948560191775,22.856,38.10688142260909,24.750221092990397,0.0,0.0,0.0
2079,15.333651267819306,59.658,88.5760525404813,30.5018646087497,0.0,1.0,0.0
3214,18.66408139182497,89.743,90.66380039055359,100.93594,4.525233034660519,1.0,0.0
1804,16.438520601582827,61.71100000000001,69.6674446598131,62.58475,3.8359711850302247,1.0,0.0
5174,18.813804179293747,73.367,70.39458846029859,91.02007,0.1400192655648798,0.0,0.0
3053,17.855810676434466,66.862,88.12421976419469,86.6174,1.5958034609865956,1.0,0.0
3739,15.220081136911885,5.018,47.83771239020986,-9.8399923591605,0.0,1.0,0.0
1197,16.433379636464192,83.564,72.50258724640459,98.38087,0.3853493537133477,1.0,0.0
896,15.511004874880207,6.0470000000000015,39.963907060681294,4.92508,0.0,1.0,0.0
18,16.39569685678751,14.958,69.3957692909733,13.29642,0.0,0.0,0.0
