p0,p1,d3mIndex
1.0,0.0,5
1.0,0.0,6
0.98,0.020000000000000014,7
1.0,0.0,8
1.0,0.0,9
1.0,0.0,10
1.0,0.0,11
0.98,0.020000000000000014,12
1.0,0.0,13
1.0,0.0,14
0.98,0.020000000000000014,15
1.0,0.0,16
1.0,0.0,17
1.0,0.0,18
1.0,0.0,19
1.0,0.0,20
1.0,0.0,21
0.98,0.020000000000000014,22
0.98,0.020000000000000014,23
1.0,0.0,24
1.0,0.0,25
1.0,0.0,26
1.0,0.0,27
1.0,0.0,28
1.0,0.0,29
1.0,0.0,30
1.0,0.0,31
1.0,0.0,32
1.0,0.0,33
1.0,0.0,34
1.0,0.0,35
1.0,0.0,36
1.0,0.0,37
1.0,0.0,38
1.0,0.0,39
1.0,0.0,40
1.0,0.0,41
1.0,0.0,42
1.0,0.0,43
1.0,0.0,44
1.0,0.0,45
1.0,0.0,46
0.92,0.07999999999999996,47
1.0,0.0,48
1.0,0.0,49
1.0,0.0,50
1.0,0.0,51
1.0,0.0,52
0.98,0.020000000000000014,53
1.0,0.0,54
1.0,0.0,60
1.0,0.0,61
1.0,0.0,62
1.0,0.0,63
1.0,0.0,64
1.0,0.0,65
0.98,0.020000000000000014,66
1.0,0.0,67
1.0,0.0,68
1.0,0.0,69
1.0,0.0,70
1.0,0.0,71
1.0,0.0,72
1.0,0.0,73
1.0,0.0,74
1.0,0.0,75
1.0,0.0,76
1.0,0.0,77
1.0,0.0,78
1.0,0.0,79
0.9333333337306976,0.0666666662693024,80
1.0,0.0,81
0.8733333337306977,0.12666666626930234,82
1.0,0.0,83
1.0,0.0,84
1.0,0.0,85
1.0,0.0,86
1.0,0.0,87
1.0,0.0,88
0.3333333337306976,0.6666666662693024,89
0.9733333337306976,0.026666666269302364,90
1.0,0.0,91
0.9995876288414002,0.00041237115859982243,92
0.9995876288414002,0.00041237115859982243,93
0.9995876288414002,0.00041237115859982243,94
0.9995876288414002,0.00041237115859982243,95
1.0,0.0,96
1.0,0.0,97
1.0,0.0,98
0.98,0.020000000000000014,99
0.96,0.040000000000000036,100
1.0,0.0,101
1.0,0.0,102
1.0,0.0,103
1.0,0.0,104
1.0,0.0,105
1.0,0.0,106
1.0,0.0,107
1.0,0.0,108
1.0,0.0,109
1.0,0.0,111
1.0,0.0,112
1.0,0.0,113
1.0,0.0,114
1.0,0.0,115
1.0,0.0,116
1.0,0.0,117
1.0,0.0,118
1.0,0.0,119
1.0,0.0,120
1.0,0.0,121
1.0,0.0,122
1.0,0.0,123
1.0,0.0,124
1.0,0.0,125
1.0,0.0,126
1.0,0.0,127
1.0,0.0,128
0.98,0.020000000000000014,129
1.0,0.0,130
1.0,0.0,131
1.0,0.0,132
1.0,0.0,133
1.0,0.0,134
1.0,0.0,135
1.0,0.0,136
1.0,0.0,137
1.0,0.0,138
1.0,0.0,139
1.0,0.0,140
1.0,0.0,141
1.0,0.0,142
1.0,0.0,143
1.0,0.0,144
1.0,0.0,145
1.0,0.0,146
1.0,0.0,147
1.0,0.0,148
1.0,0.0,149
1.0,0.0,150
1.0,0.0,151
1.0,0.0,152
1.0,0.0,153
0.98,0.020000000000000014,154
1.0,0.0,155
1.0,0.0,156
1.0,0.0,157
1.0,0.0,159
1.0,0.0,160
1.0,0.0,161
1.0,0.0,162
1.0,0.0,163
1.0,0.0,164
1.0,0.0,165
0.99,0.010000000000000007,166
0.98,0.020000000000000014,167
1.0,0.0,168
1.0,0.0,169
1.0,0.0,170
1.0,0.0,171
1.0,0.0,172
1.0,0.0,173
1.0,0.0,174
1.0,0.0,175
1.0,0.0,176
1.0,0.0,177
0.98,0.020000000000000014,178
1.0,0.0,179
1.0,0.0,180
1.0,0.0,181
0.96,0.040000000000000036,182
1.0,0.0,183
0.98,0.020000000000000014,184
0.98,0.020000000000000014,185
1.0,0.0,186
1.0,0.0,187
1.0,0.0,188
1.0,0.0,189
1.0,0.0,190
1.0,0.0,191
1.0,0.0,192
0.98,0.020000000000000014,198
1.0,0.0,199
1.0,0.0,200
1.0,0.0,201
1.0,0.0,202
1.0,0.0,203
1.0,0.0,204
1.0,0.0,205
1.0,0.0,206
1.0,0.0,207
1.0,0.0,208
0.98,0.020000000000000014,209
1.0,0.0,210
0.96,0.040000000000000036,211
0.98,0.020000000000000014,212
0.94,0.06000000000000005,213
0.42,0.5800000000000001,214
0.96,0.040000000000000036,215
0.98,0.020000000000000014,216
0.98,0.020000000000000014,217
1.0,0.0,218
1.0,0.0,219
1.0,0.0,220
1.0,0.0,221
0.94,0.06000000000000005,222
0.8733333337306977,0.12666666626930234,223
0.4733333337306976,0.5266666662693024,224
0.8533333337306976,0.14666666626930236,225
0.9533333337306976,0.04666666626930238,226
0.98,0.020000000000000014,227
0.96,0.040000000000000036,228
1.0,0.0,229
1.0,0.0,230
1.0,0.0,231
1.0,0.0,232
1.0,0.0,233
1.0,0.0,234
1.0,0.0,235
1.0,0.0,236
1.0,0.0,237
0.98,0.020000000000000014,238
1.0,0.0,239
1.0,0.0,240
1.0,0.0,241
1.0,0.0,242
1.0,0.0,243
1.0,0.0,244
1.0,0.0,245
1.0,0.0,246
1.0,0.0,247
1.0,0.0,249
1.0,0.0,250
1.0,0.0,251
0.96,0.040000000000000036,252
1.0,0.0,253
1.0,0.0,254
1.0,0.0,255
1.0,0.0,256
1.0,0.0,257
1.0,0.0,258
1.0,0.0,259
1.0,0.0,260
0.96,0.040000000000000036,261
0.94,0.06000000000000005,262
0.32,0.6799999999999999,263
0.78,0.22,264
0.88,0.12,265
1.0,0.0,266
1.0,0.0,272
0.98,0.020000000000000014,273
0.98,0.020000000000000014,274
0.98,0.020000000000000014,275
0.98,0.020000000000000014,276
1.0,0.0,277
0.98,0.020000000000000014,278
1.0,0.0,279
0.99,0.010000000000000007,280
0.96,0.040000000000000036,281
0.97,0.030000000000000027,282
1.0,0.0,283
1.0,0.0,284
1.0,0.0,285
1.0,0.0,286
1.0,0.0,287
1.0,0.0,288
1.0,0.0,289
1.0,0.0,290
1.0,0.0,291
1.0,0.0,292
0.98,0.020000000000000014,293
1.0,0.0,294
1.0,0.0,295
1.0,0.0,296
0.98,0.020000000000000014,297
1.0,0.0,298
1.0,0.0,299
1.0,0.0,300
1.0,0.0,301
1.0,0.0,302
1.0,0.0,303
1.0,0.0,304
1.0,0.0,305
1.0,0.0,306
1.0,0.0,307
1.0,0.0,308
1.0,0.0,309
0.98,0.020000000000000014,310
1.0,0.0,311
1.0,0.0,312
1.0,0.0,313
1.0,0.0,314
1.0,0.0,315
1.0,0.0,316
1.0,0.0,317
1.0,0.0,318
1.0,0.0,319
1.0,0.0,320
1.0,0.0,321
1.0,0.0,327
1.0,0.0,328
1.0,0.0,329
1.0,0.0,330
1.0,0.0,331
0.99,0.010000000000000007,332
1.0,0.0,333
1.0,0.0,334
1.0,0.0,335
0.99,0.010000000000000007,336
0.98,0.020000000000000014,337
1.0,0.0,338
0.98,0.020000000000000014,339
0.98,0.020000000000000014,340
0.99,0.010000000000000007,341
0.98,0.020000000000000014,342
1.0,0.0,343
1.0,0.0,344
1.0,0.0,345
1.0,0.0,346
1.0,0.0,347
1.0,0.0,348
1.0,0.0,349
1.0,0.0,350
1.0,0.0,351
1.0,0.0,352
1.0,0.0,353
1.0,0.0,354
1.0,0.0,355
1.0,0.0,356
1.0,0.0,357
1.0,0.0,358
0.98,0.020000000000000014,359
1.0,0.0,360
1.0,0.0,361
1.0,0.0,362
1.0,0.0,363
1.0,0.0,364
1.0,0.0,365
1.0,0.0,366
1.0,0.0,367
1.0,0.0,368
1.0,0.0,369
1.0,0.0,370
1.0,0.0,371
1.0,0.0,372
1.0,0.0,373
1.0,0.0,374
1.0,0.0,375
1.0,0.0,376
1.0,0.0,378
1.0,0.0,379
1.0,0.0,380
0.98,0.020000000000000014,381
1.0,0.0,382
1.0,0.0,383
1.0,0.0,384
0.96,0.040000000000000036,385
1.0,0.0,386
1.0,0.0,387
1.0,0.0,388
1.0,0.0,389
1.0,0.0,390
0.98,0.020000000000000014,391
0.98,0.020000000000000014,392
1.0,0.0,393
1.0,0.0,394
0.98,0.020000000000000014,395
1.0,0.0,434
1.0,0.0,435
1.0,0.0,436
1.0,0.0,437
1.0,0.0,438
0.98,0.020000000000000014,439
1.0,0.0,440
0.98,0.020000000000000014,441
1.0,0.0,442
1.0,0.0,443
1.0,0.0,444
1.0,0.0,445
1.0,0.0,446
1.0,0.0,447
1.0,0.0,448
1.0,0.0,449
1.0,0.0,450
1.0,0.0,451
1.0,0.0,452
1.0,0.0,453
1.0,0.0,454
1.0,0.0,455
1.0,0.0,456
1.0,0.0,457
1.0,0.0,458
1.0,0.0,459
1.0,0.0,460
1.0,0.0,461
1.0,0.0,462
1.0,0.0,463
1.0,0.0,464
1.0,0.0,465
1.0,0.0,466
1.0,0.0,467
1.0,0.0,468
1.0,0.0,469
0.98,0.020000000000000014,470
1.0,0.0,471
1.0,0.0,473
1.0,0.0,474
1.0,0.0,475
0.98,0.020000000000000014,476
0.96,0.040000000000000036,477
0.98,0.020000000000000014,478
1.0,0.0,479
0.98,0.020000000000000014,480
0.9933333337306977,0.006666666269302346,481
0.8633333337306976,0.13666666626930235,482
0.9433333337306976,0.05666666626930239,483
0.93,0.06999999999999995,484
0.95,0.05000000000000005,485
0.89,0.11,486
0.4146666663885117,0.5853333336114883,487
0.9279999995231628,0.07200000047683719,488
0.9479999995231628,0.05200000047683717,489
0.9179999995231628,0.0820000004768372,490
0.9779999995231629,0.022000000476837145,491
0.98,0.020000000000000014,492
0.9779999995231629,0.022000000476837145,493
0.9579999995231628,0.04200000047683716,494
0.98,0.020000000000000014,495
0.96,0.040000000000000036,496
1.0,0.0,497
1.0,0.0,498
1.0,0.0,499
1.0,0.0,500
1.0,0.0,501
0.94,0.06000000000000005,502
0.86,0.14,503
0.26,0.74,504
0.84,0.16000000000000006,505
0.36,0.64,506
0.86,0.14,507
0.92,0.07999999999999996,508
1.0,0.0,509
1.0,0.0,510
1.0,0.0,556
1.0,0.0,557
1.0,0.0,558
1.0,0.0,559
1.0,0.0,560
0.99,0.010000000000000007,561
1.0,0.0,562
0.98,0.020000000000000014,563
1.0,0.0,564
1.0,0.0,565
1.0,0.0,566
0.98,0.020000000000000014,567
0.96,0.040000000000000036,568
0.38,0.62,569
0.98,0.020000000000000014,570
0.98,0.020000000000000014,571
1.0,0.0,572
1.0,0.0,573
1.0,0.0,579
1.0,0.0,580
0.98,0.020000000000000014,581
1.0,0.0,582
1.0,0.0,583
1.0,0.0,584
1.0,0.0,585
0.98,0.020000000000000014,586
1.0,0.0,587
1.0,0.0,588
1.0,0.0,589
1.0,0.0,590
1.0,0.0,591
1.0,0.0,592
1.0,0.0,593
1.0,0.0,594
1.0,0.0,595
1.0,0.0,596
1.0,0.0,597
1.0,0.0,598
1.0,0.0,599
0.96,0.040000000000000036,600
1.0,0.0,601
1.0,0.0,602
1.0,0.0,603
0.98,0.020000000000000014,604
1.0,0.0,605
1.0,0.0,606
1.0,0.0,607
1.0,0.0,608
1.0,0.0,609
1.0,0.0,610
1.0,0.0,611
1.0,0.0,612
1.0,0.0,613
1.0,0.0,614
1.0,0.0,615
1.0,0.0,616
1.0,0.0,617
1.0,0.0,618
1.0,0.0,619
1.0,0.0,620
1.0,0.0,621
1.0,0.0,622
1.0,0.0,623
1.0,0.0,624
1.0,0.0,625
1.0,0.0,626
1.0,0.0,627
1.0,0.0,628
1.0,0.0,659
1.0,0.0,660
1.0,0.0,661
1.0,0.0,662
1.0,0.0,663
1.0,0.0,664
1.0,0.0,665
1.0,0.0,666
0.99,0.010000000000000007,667
1.0,0.0,668
1.0,0.0,669
1.0,0.0,670
1.0,0.0,671
1.0,0.0,672
0.96,0.040000000000000036,673
1.0,0.0,674
1.0,0.0,675
1.0,0.0,676
1.0,0.0,677
1.0,0.0,678
1.0,0.0,679
0.9966666662693024,0.003333333730697663,680
0.9966666662693024,0.003333333730697663,681
1.0,0.0,682
1.0,0.0,683
1.0,0.0,684
1.0,0.0,685
0.41,0.5900000000000001,686
1.0,0.0,687
0.98,0.020000000000000014,688
0.98,0.020000000000000014,689
1.0,0.0,690
0.98,0.020000000000000014,691
0.9986785376071928,0.00132146239280706,692
1.0,0.0,693
1.0,0.0,694
1.0,0.0,695
1.0,0.0,696
1.0,0.0,697
0.98,0.020000000000000014,698
0.98,0.020000000000000014,699
0.98,0.020000000000000014,700
1.0,0.0,701
0.9773913037776948,0.022608696222305324,702
0.9773913037776948,0.022608696222305324,703
0.9305194807052612,0.06948051929473875,704
0.9714285719394684,0.028571428060531586,705
0.9,0.09999999999999998,706
0.92,0.07999999999999996,707
1.0,0.0,713
1.0,0.0,714
1.0,0.0,715
1.0,0.0,716
1.0,0.0,717
1.0,0.0,718
1.0,0.0,719
1.0,0.0,720
1.0,0.0,721
1.0,0.0,722
1.0,0.0,723
1.0,0.0,724
1.0,0.0,725
1.0,0.0,726
1.0,0.0,727
1.0,0.0,728
1.0,0.0,729
1.0,0.0,730
1.0,0.0,731
1.0,0.0,732
1.0,0.0,733
1.0,0.0,734
1.0,0.0,735
1.0,0.0,736
1.0,0.0,737
1.0,0.0,738
1.0,0.0,739
1.0,0.0,740
1.0,0.0,741
1.0,0.0,742
1.0,0.0,743
1.0,0.0,744
1.0,0.0,745
1.0,0.0,746
1.0,0.0,747
1.0,0.0,748
1.0,0.0,749
1.0,0.0,750
1.0,0.0,751
1.0,0.0,752
1.0,0.0,753
1.0,0.0,754
1.0,0.0,755
1.0,0.0,756
1.0,0.0,757
1.0,0.0,758
1.0,0.0,759
1.0,0.0,760
1.0,0.0,761
0.96,0.040000000000000036,762
1.0,0.0,768
1.0,0.0,769
0.9895876288414002,0.010412371158599831,770
1.0,0.0,771
1.0,0.0,772
0.9995876288414002,0.00041237115859982243,773
1.0,0.0,774
0.9995876288414002,0.00041237115859982243,775
0.9995876288414002,0.00041237115859982243,776
0.9995876288414002,0.00041237115859982243,777
0.9529209625720978,0.047079037427902204,778
0.9629209625720978,0.0370790374279022,779
0.9929209625720978,0.007079037427902168,780
0.9929209625720978,0.007079037427902168,781
0.9995876288414002,0.00041237115859982243,782
0.9795876288414002,0.02041237115859984,783
0.4554209625720978,0.5445790374279023,784
0.9795876288414002,0.02041237115859984,785
0.9995876288414002,0.00041237115859982243,786
0.9920876288414,0.007912371158599885,787
0.9995876288414002,0.00041237115859982243,788
0.9920876288414,0.007912371158599885,789
0.98,0.020000000000000014,790
0.9995876288414002,0.00041237115859982243,791
0.4487542963027954,0.5512457036972046,792
0.9933333337306977,0.006666666269302346,793
0.9995876288414002,0.00041237115859982243,794
0.9995876288414002,0.00041237115859982243,795
0.9995876288414002,0.00041237115859982243,796
0.9995876288414002,0.00041237115859982243,797
0.9995876288414002,0.00041237115859982243,798
1.0,0.0,799
1.0,0.0,800
1.0,0.0,801
0.98,0.020000000000000014,802
0.98,0.020000000000000014,803
1.0,0.0,804
0.9573913037776948,0.042608696222305335,805
0.9973913037776948,0.002608696222305307,806
0.9973913037776948,0.002608696222305307,807
0.9573913037776948,0.042608696222305335,808
0.8173913037776948,0.18260869622230524,809
0.28,0.72,810
0.2533333337306976,0.7466666662693024,811
0.3,0.7,812
0.82,0.18000000000000005,813
1.0,0.0,814
1.0,0.0,815
1.0,0.0,816
1.0,0.0,817
1.0,0.0,818
1.0,0.0,819
0.9995876288414002,0.00041237115859982243,820
1.0,0.0,821
1.0,0.0,822
0.995,0.0050000000000000044,823
0.98,0.020000000000000014,824
1.0,0.0,825
1.0,0.0,826
1.0,0.0,827
1.0,0.0,828
1.0,0.0,829
1.0,0.0,830
0.98,0.020000000000000014,831
1.0,0.0,832
0.98,0.020000000000000014,833
1.0,0.0,834
1.0,0.0,835
1.0,0.0,837
1.0,0.0,838
1.0,0.0,839
1.0,0.0,840
1.0,0.0,841
1.0,0.0,842
1.0,0.0,843
1.0,0.0,844
1.0,0.0,845
1.0,0.0,846
1.0,0.0,847
1.0,0.0,848
1.0,0.0,849
1.0,0.0,850
1.0,0.0,851
1.0,0.0,852
1.0,0.0,853
1.0,0.0,854
1.0,0.0,855
1.0,0.0,856
1.0,0.0,857
0.9995876288414002,0.00041237115859982243,858
0.9995876288414002,0.00041237115859982243,859
0.9995876288414002,0.00041237115859982243,860
0.9995876288414002,0.00041237115859982243,861
0.9995876288414002,0.00041237115859982243,862
0.9995876288414002,0.00041237115859982243,863
0.9995876288414002,0.00041237115859982243,864
0.9995876288414002,0.00041237115859982243,865
0.9995876288414002,0.00041237115859982243,866
1.0,0.0,867
0.98,0.020000000000000014,868
1.0,0.0,869
1.0,0.0,870
1.0,0.0,871
1.0,0.0,872
1.0,0.0,873
1.0,0.0,874
1.0,0.0,875
1.0,0.0,876
1.0,0.0,877
1.0,0.0,878
1.0,0.0,879
0.9985507249832152,0.0014492750167847126,885
0.96,0.040000000000000036,886
1.0,0.0,887
0.9685507249832154,0.03144927501678463,888
1.0,0.0,889
0.98,0.020000000000000014,890
1.0,0.0,891
0.98,0.020000000000000014,892
1.0,0.0,893
0.98,0.020000000000000014,894
1.0,0.0,895
1.0,0.0,896
0.98,0.020000000000000014,897
1.0,0.0,898
0.9985507249832152,0.0014492750167847126,899
0.9785507249832154,0.02144927501678462,900
0.9985507249832152,0.0014492750167847126,901
1.0,0.0,902
0.96,0.040000000000000036,903
1.0,0.0,904
1.0,0.0,905
1.0,0.0,906
0.96,0.040000000000000036,907
0.36,0.64,908
0.98,0.020000000000000014,909
0.98,0.020000000000000014,910
0.96,0.040000000000000036,911
1.0,0.0,912
0.96,0.040000000000000036,913
0.86,0.14,914
1.0,0.0,915
1.0,0.0,916
0.98,0.020000000000000014,917
1.0,0.0,918
1.0,0.0,919
1.0,0.0,920
1.0,0.0,921
0.98,0.020000000000000014,922
1.0,0.0,923
1.0,0.0,924
1.0,0.0,925
0.98,0.020000000000000014,926
1.0,0.0,927
1.0,0.0,928
1.0,0.0,929
0.98,0.020000000000000014,930
0.96,0.040000000000000036,931
1.0,0.0,932
1.0,0.0,933
1.0,0.0,934
0.9995876288414002,0.00041237115859982243,940
0.98,0.020000000000000014,941
1.0,0.0,942
0.99,0.010000000000000007,943
0.9995876288414002,0.00041237115859982243,944
1.0,0.0,945
0.9995876288414002,0.00041237115859982243,946
0.9995876288414002,0.00041237115859982243,947
0.9795876288414002,0.02041237115859984,948
1.0,0.0,949
0.9995876288414002,0.00041237115859982243,950
1.0,0.0,951
1.0,0.0,952
1.0,0.0,953
1.0,0.0,954
1.0,0.0,955
0.98,0.020000000000000014,956
1.0,0.0,957
1.0,0.0,958
1.0,0.0,959
1.0,0.0,960
1.0,0.0,961
1.0,0.0,962
1.0,0.0,963
1.0,0.0,964
0.98,0.020000000000000014,965
0.88,0.12,966
0.79,0.21,967
0.28,0.72,968
0.91,0.08999999999999997,969
0.96,0.040000000000000036,970
1.0,0.0,971
1.0,0.0,972
1.0,0.0,973
1.0,0.0,974
1.0,0.0,975
1.0,0.0,976
1.0,0.0,977
1.0,0.0,978
1.0,0.0,979
0.9933333337306977,0.006666666269302346,980
1.0,0.0,981
0.96,0.040000000000000036,982
1.0,0.0,983
1.0,0.0,984
1.0,0.0,985
0.99,0.010000000000000007,986
0.97,0.030000000000000027,987
0.43,0.5700000000000001,988
0.85,0.15000000000000002,989
1.0,0.0,991
1.0,0.0,992
0.98,0.020000000000000014,993
1.0,0.0,994
1.0,0.0,995
1.0,0.0,996
1.0,0.0,997
1.0,0.0,998
1.0,0.0,999
1.0,0.0,1000
1.0,0.0,1001
1.0,0.0,1002
1.0,0.0,1003
1.0,0.0,1004
1.0,0.0,1005
1.0,0.0,1006
1.0,0.0,1007
1.0,0.0,1008
1.0,0.0,1009
1.0,0.0,1010
1.0,0.0,1011
1.0,0.0,1012
1.0,0.0,1013
0.98,0.020000000000000014,1014
1.0,0.0,1015
1.0,0.0,1016
1.0,0.0,1017
1.0,0.0,1018
1.0,0.0,1019
1.0,0.0,1020
1.0,0.0,1021
1.0,0.0,1022
1.0,0.0,1023
1.0,0.0,1024
1.0,0.0,1025
1.0,0.0,1026
1.0,0.0,1027
1.0,0.0,1028
1.0,0.0,1029
1.0,0.0,1030
1.0,0.0,1031
1.0,0.0,1032
1.0,0.0,1033
1.0,0.0,1034
1.0,0.0,1035
1.0,0.0,1036
1.0,0.0,1037
1.0,0.0,1038
1.0,0.0,1039
1.0,0.0,1041
1.0,0.0,1042
1.0,0.0,1043
1.0,0.0,1044
1.0,0.0,1045
0.98,0.020000000000000014,1046
0.98,0.020000000000000014,1047
0.98,0.020000000000000014,1048
1.0,0.0,1049
1.0,0.0,1050
1.0,0.0,1051
1.0,0.0,1052
1.0,0.0,1053
1.0,0.0,1054
1.0,0.0,1055
1.0,0.0,1056
