d3mIndex,p_0,p_1
0.0,0.5,0.5
811.888888888889,0.5,0.5
1623.77777777778,0.5,0.5
2435.6666666666697,0.5,0.5
3247.55555555556,0.5,0.5
4059.44444444444,0.5,0.5
4871.333333333329,0.5,0.5
5683.222222222221,0.5,0.5
6495.1111111111095,0.5,0.5
7307.0,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
3663.5,0.5,0.5
