d3mIndex,p_0,p_1
17,0.9985976689976692,0.0014023310023310023
18,0.996,0.004
19,0.998,0.002
20,0.998,0.002
21,1.0,0.0
22,0.997,0.003
23,1.0,0.0
24,1.0,0.0
25,0.998,0.002
27,1.0,0.0
28,0.996,0.004
29,1.0,0.0
30,0.992,0.008
31,1.0,0.0
32,0.994,0.006
33,1.0,0.0
34,1.0,0.0
35,0.998,0.002
36,0.998,0.002
37,1.0,0.0
38,1.0,0.0
39,0.994,0.006
40,1.0,0.0
41,0.992,0.008
42,0.998,0.002
43,1.0,0.0
44,1.0,0.0
45,1.0,0.0
46,1.0,0.0
47,0.9966000000000002,0.0034
48,0.9970000000000001,0.003
49,0.9970000000000001,0.003
50,0.996,0.004
51,0.984,0.016
52,0.9911100207699751,0.008889979230024993
53,1.0,0.0
54,1.0,0.0
72,1.0,0.0
73,0.998,0.002
74,1.0,0.0
75,0.998,0.002
76,0.9893333333333335,0.010666666666666665
77,1.0,0.0
78,1.0,0.0
79,1.0,0.0
80,1.0,0.0
82,1.0,0.0
83,1.0,0.0
84,0.9936666666666668,0.006333333333333334
85,0.992,0.008
86,0.998,0.002
87,1.0,0.0
88,0.9386666666666669,0.06133333333333333
89,0.079,0.921
90,0.978,0.022
91,1.0,0.0
92,1.0,0.0
93,0.9985323232323234,0.0014676767676767676
94,0.998,0.002
95,1.0,0.0
96,0.9944920634920635,0.005507936507936508
97,0.9984132756132756,0.001586724386724387
98,1.0,0.0
99,1.0,0.0
100,0.996,0.004
101,0.994,0.006
102,1.0,0.0
103,1.0,0.0
104,0.974,0.026
105,1.0,0.0
106,0.9918333333333335,0.008166666666666668
107,0.9977896825396827,0.00221031746031746
108,1.0,0.0
109,1.0,0.0
120,1.0,0.0
121,1.0,0.0
122,1.0,0.0
123,0.994,0.006
124,1.0,0.0
125,1.0,0.0
126,0.998,0.002
127,0.998,0.002
128,1.0,0.0
130,0.9766590909090911,0.023340909090909093
131,0.998,0.002
132,1.0,0.0
133,0.988,0.012
134,1.0,0.0
135,1.0,0.0
136,0.9963767676767679,0.0036232323232323234
137,0.9935,0.0065
138,0.996,0.004
139,0.994,0.006
140,0.998,0.002
141,1.0,0.0
142,0.998,0.002
143,1.0,0.0
144,1.0,0.0
145,1.0,0.0
146,0.998,0.002
147,0.998,0.002
148,0.994,0.006
149,1.0,0.0
150,1.0,0.0
151,1.0,0.0
152,0.9905581085581088,0.009441891441891441
153,0.968,0.032
154,0.9853333333333334,0.014666666666666663
155,1.0,0.0
156,0.9920000000000001,0.008
157,0.982,0.018
159,1.0,0.0
160,1.0,0.0
161,1.0,0.0
162,1.0,0.0
163,0.998,0.002
165,1.0,0.0
166,1.0,0.0
167,0.998,0.002
168,1.0,0.0
169,1.0,0.0
170,1.0,0.0
171,0.99,0.01
172,1.0,0.0
173,1.0,0.0
174,0.9924920634920635,0.007507936507936509
175,1.0,0.0
176,1.0,0.0
177,1.0,0.0
178,1.0,0.0
179,1.0,0.0
180,1.0,0.0
181,1.0,0.0
182,1.0,0.0
183,1.0,0.0
184,1.0,0.0
185,1.0,0.0
186,0.9974571428571427,0.0025428571428571427
187,1.0,0.0
188,0.9855,0.0145
189,1.0,0.0
190,1.0,0.0
191,0.988,0.012
192,1.0,0.0
210,0.998,0.002
211,1.0,0.0
212,0.984,0.016
213,0.988,0.012
214,0.1153041958041958,0.8846958041958042
215,0.992,0.008
216,0.998,0.002
217,1.0,0.0
218,0.9945047619047617,0.005495238095238096
220,0.99,0.01
221,0.988,0.012
222,0.986,0.014
223,1.0,0.0
224,0.106,0.894
225,0.996,0.004
226,0.978,0.022
227,1.0,0.0
228,0.998,0.002
229,0.996,0.004
230,1.0,0.0
231,0.998,0.002
232,1.0,0.0
233,1.0,0.0
234,0.9958333333333332,0.004166666666666666
235,0.998,0.002
236,1.0,0.0
237,1.0,0.0
238,0.988,0.012
239,1.0,0.0
240,1.0,0.0
241,1.0,0.0
242,0.998,0.002
243,1.0,0.0
244,1.0,0.0
245,1.0,0.0
246,1.0,0.0
247,1.0,0.0
249,1.0,0.0
250,1.0,0.0
251,0.9956666666666667,0.004333333333333333
252,1.0,0.0
253,1.0,0.0
254,1.0,0.0
255,1.0,0.0
256,1.0,0.0
257,1.0,0.0
258,1.0,0.0
259,0.959,0.041
260,0.9976666666666666,0.0023333333333333335
261,1.0,0.0
262,0.996,0.004
263,0.113,0.887
264,0.946,0.054
265,0.998,0.002
266,0.999,0.001
284,1.0,0.0
285,1.0,0.0
286,1.0,0.0
287,1.0,0.0
288,1.0,0.0
289,1.0,0.0
290,1.0,0.0
291,1.0,0.0
