d3mIndex,p_0,p_1
17,0.8053822,0.19461782
18,0.8053822,0.19461782
19,0.8053822,0.19461782
20,0.8053822,0.19461782
21,0.8053822,0.19461782
22,0.8053822,0.19461782
23,0.8053822,0.19461782
24,0.8053822,0.19461782
25,0.8053822,0.19461782
27,0.8053822,0.19461782
28,0.8053822,0.19461782
29,0.8053822,0.19461782
30,0.8053822,0.19461782
31,0.8053822,0.19461782
32,0.8049414,0.19505855
33,0.8053822,0.19461782
34,0.8053822,0.19461782
35,0.8053822,0.19461782
36,0.8053822,0.19461782
37,0.8053822,0.19461782
38,0.8053822,0.19461782
39,0.8052013,0.19479874
40,0.8052013,0.19479874
41,0.80462176,0.19537826
42,0.80462176,0.19537826
43,0.80462176,0.19537826
44,0.80462176,0.19537826
45,0.80462176,0.19537826
46,0.80462176,0.19537826
47,0.80347013,0.1965299
48,0.800655,0.19934496
49,0.800655,0.19934496
50,0.802829,0.197171
51,0.8012426,0.19875738
52,0.8008146,0.19918539
53,0.79909515,0.20090488
54,0.79909515,0.20090488
72,0.8062376,0.19376244
73,0.8057983,0.1942017
74,0.8062376,0.19376244
75,0.8062376,0.19376244
76,0.8062376,0.19376244
77,0.8057983,0.1942017
78,0.8062376,0.19376244
79,0.8062376,0.19376244
80,0.8062376,0.19376244
82,0.8062376,0.19376244
83,0.8062376,0.19376244
84,0.8062376,0.19376244
85,0.8062376,0.19376244
86,0.8057983,0.1942017
87,0.8062376,0.19376244
88,0.8062376,0.19376244
89,0.8062376,0.19376244
90,0.8057983,0.1942017
91,0.8053391,0.19466092
92,0.80626947,0.19373055
93,0.8062376,0.19376244
94,0.8062376,0.19376244
95,0.8053391,0.19466092
96,0.8053391,0.19466092
97,0.8062376,0.19376244
98,0.8062376,0.19376244
99,0.8062376,0.19376244
100,0.8053391,0.19466092
101,0.8062376,0.19376244
102,0.80626947,0.19373055
103,0.80626947,0.19373055
104,0.8060347,0.19396533
105,0.80626947,0.19373055
106,0.80626947,0.19373055
107,0.80626947,0.19373055
108,0.8060347,0.19396533
109,0.80626947,0.19373055
120,0.8053822,0.19461782
121,0.8053822,0.19461782
122,0.8052013,0.19479874
123,0.8047602,0.1952398
124,0.8047602,0.1952398
125,0.80497104,0.19502896
126,0.8045296,0.19547038
