d3mIndex,p_0,p_1
2.0,0.5,0.5
3013.0,0.5,0.5
6024.0,0.5,0.5
9035.0,0.5,0.5
12046.0,0.5,0.5
15057.0,0.5,0.5
18068.0,0.5,0.5
21079.0,0.5,0.5
24090.0,0.5,0.5
27101.0,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
13506.5,0.5,0.5
