"d3mIndex","pmid","py","py2","py3","terriss","riveriss","mariss","terrAtt","rivAtt","marAtt","mido"
25,0,31,961,29791,0,0,0,0,0,0,0
3033.11111111111,0,31,961,29791,0,0,0,0,0,0,0
6041.22222222222,0,31,961,29791,0,0,0,0,0,0,0
9049.33333333333,0,31,961,29791,0,0,0,0,0,0,0
12057.4444444444,0,31,961,29791,0,0,0,0,0,0,0
15065.5555555556,0,31,961,29791,0,0,0,0,0,0,0
18073.6666666667,0,31,961,29791,0,0,0,0,0,0,0
21081.7777777778,0,31,961,29791,0,0,0,0,0,0,0
24089.8888888889,0,31,961,29791,0,0,0,0,0,0,0
27098,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,1,31,961,29791,0,0,0,0,0,0,0
13596.5,0,0,961,29791,0,0,0,0,0,0,0
13596.5,0,11.2222222222222,961,29791,0,0,0,0,0,0,0
13596.5,0,22.4444444444444,961,29791,0,0,0,0,0,0,0
13596.5,0,33.6666666666667,961,29791,0,0,0,0,0,0,0
13596.5,0,44.8888888888889,961,29791,0,0,0,0,0,0,0
13596.5,0,56.1111111111111,961,29791,0,0,0,0,0,0,0
13596.5,0,67.3333333333333,961,29791,0,0,0,0,0,0,0
13596.5,0,78.5555555555555,961,29791,0,0,0,0,0,0,0
13596.5,0,89.7777777777778,961,29791,0,0,0,0,0,0,0
13596.5,0,101,961,29791,0,0,0,0,0,0,0
13596.5,0,31,0,29791,0,0,0,0,0,0,0
13596.5,0,31,1133.44444444444,29791,0,0,0,0,0,0,0
13596.5,0,31,2266.88888888889,29791,0,0,0,0,0,0,0
13596.5,0,31,3400.33333333333,29791,0,0,0,0,0,0,0
13596.5,0,31,4533.77777777778,29791,0,0,0,0,0,0,0
13596.5,0,31,5667.22222222222,29791,0,0,0,0,0,0,0
13596.5,0,31,6800.66666666667,29791,0,0,0,0,0,0,0
13596.5,0,31,7934.11111111111,29791,0,0,0,0,0,0,0
13596.5,0,31,9067.55555555555,29791,0,0,0,0,0,0,0
13596.5,0,31,10201,29791,0,0,0,0,0,0,0
13596.5,0,31,961,0,0,0,0,0,0,0,0
13596.5,0,31,961,114477.888888889,0,0,0,0,0,0,0
13596.5,0,31,961,228955.777777778,0,0,0,0,0,0,0
13596.5,0,31,961,343433.666666667,0,0,0,0,0,0,0
13596.5,0,31,961,457911.555555556,0,0,0,0,0,0,0
13596.5,0,31,961,572389.444444444,0,0,0,0,0,0,0
13596.5,0,31,961,686867.333333333,0,0,0,0,0,0,0
13596.5,0,31,961,801345.222222222,0,0,0,0,0,0,0
13596.5,0,31,961,915823.111111111,0,0,0,0,0,0,0
13596.5,0,31,961,1030301,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,1,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,1,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,1,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,1,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,1,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,1,0
13596.5,0,31,961,29791,0,0,0,0,0,0,0
13596.5,0,31,961,29791,0,0,0,0,0,0,1
