d3mIndex,p_0,p_1
1.0,0.5,0.5
3011.8888888888896,0.5,0.5
6022.777777777779,0.5,0.5
9033.66666666667,0.5,0.5
12044.5555555556,0.5,0.5
15055.4444444444,0.5,0.5
18066.3333333333,0.5,0.5
21077.2222222222,0.5,0.5
24088.1111111111,0.5,0.5
27099.0,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
13454.5,0.5,0.5
