d3mIndex,p_0,p_1
9520,0.9963638346942512,0.0036361653057487018
2185,0.9996420764989348,0.00035792350106532677
20087,0.9996329510927626,0.0003670489072372621
4211,0.5499527431026164,0.45004725689738356
23533,0.970388423055366,0.029611576944633882
12603,0.9997355968613025,0.00026440313869755623
8679,0.9994605920710716,0.0005394079289284389
24860,0.9976342044071107,0.0023657955928893465
12399,0.9994454639610055,0.0005545360389946071
16628,0.9997337178113572,0.0002662821886428807
12170,0.99928395800365,0.0007160419963500447
18817,0.9997016512463364,0.00029834875366358053
22682,0.9997750134874429,0.00022498651255708888
20453,0.9998184020484,0.0001815979515999992
3624,0.9757915208763792,0.02420847912362082
1076,0.9991801896508392,0.0008198103491608292
15981,0.9997422805365509,0.0002577194634491359
10474,0.99984549166361,0.0001545083363901026
10660,0.8889390976069916,0.11106090239300836
21910,0.9995152119224635,0.00048478807753641814
10313,0.9996466400778394,0.0003533599221605232
1965,0.9406527364307179,0.05934726356928201
13503,0.9991673604258304,0.0008326395741697328
12301,0.9985481859942625,0.00145181400573745
22928,0.9971675842070538,0.002832415792946057
5275,0.9969492227769503,0.00305077722304974
8574,0.999775697149165,0.0002243028508349017
24462,0.9967736922024408,0.003226307797559335
2728,0.9990735038668985,0.0009264961331013888
21010,0.9931232372795418,0.006876762720458087
15244,0.9969624815460133,0.003037518453986691
8866,0.9996562788028684,0.00034372119713156694
3941,0.999663784110144,0.00033621588985603294
7170,0.9961295155820227,0.0038704844179774287
18689,0.999341300897694,0.0006586991023059358
21789,0.9990469763741587,0.000953023625841304
19710,0.9975297032441947,0.002470296755805395
22787,0.9915321265801705,0.008467873419829545
26356,0.9982776824837614,0.0017223175162388148
5521,0.9638210404877631,0.03617895951223682
11021,0.9981818841935527,0.001818115806447392
26648,0.9995101828376611,0.0004898171623386876
16219,0.9997720017448442,0.0002279982551558818
4336,0.9816093411701573,0.018390658829842792
1316,0.9995980143451804,0.0004019856548195483
3181,0.89641433189041,0.10358566810959008
727,0.999883284982663,0.00011671501733694125
9378,0.9994150083685632,0.0005849916314366019
9610,0.9979538129198072,0.002046187080192861
13551,0.9990935723939613,0.0009064276060386907
8966,0.9993069066906378,0.0006930933093621845
3807,0.9989300182789447,0.0010699817210551457
20541,0.9991638444376164,0.0008361555623834843
5324,0.9979138976462018,0.0020861023537981495
495,0.9989150938163501,0.001084906183649995
7767,0.998772204644618,0.0012277953553819128
12637,0.9991543594775383,0.0008456405224615951
6283,0.9730854578722877,0.026914542127712226
10228,0.9983410868170189,0.001658913182981234
4102,0.9978294066477996,0.002170593352200335
23102,0.992327706868438,0.007672293131562276
18142,0.9801600519515249,0.019839948048475376
280,0.9921752277365542,0.007824772263445842
2705,0.9985381406225118,0.0014618593774883696
24733,0.9930691412398592,0.006930858760140817
25525,0.9962792306513419,0.0037207693486579646
24902,0.9996189476757328,0.0003810523242670948
21601,0.9983212419793407,0.0016787580206592012
20415,0.9996909985704855,0.00030900142951446885
12469,0.9977640106830598,0.0022359893169402413
19848,0.9987922644373857,0.0012077355626143095
24193,0.9725720264179127,0.02742797358208725
26434,0.9971882010126937,0.0028117989873062193
5114,0.995834093657354,0.004165906342646025
1946,0.7074203302534454,0.2925796697465545
21879,0.9996466892968167,0.00035331070318335276
18850,0.9986265479534217,0.0013734520465784547
8261,0.9984945858391714,0.0015054141608285426
7424,0.9978747402180848,0.002125259781915237
19739,0.9995097128672239,0.0004902871327761646
17402,0.9975037219017896,0.002496278098210428
22013,0.9998144406698711,0.00018555933012898883
12965,0.9997955957035932,0.00020440429640668808
13264,0.9985598413205145,0.0014401586794855123
17475,0.9995388223595562,0.0004611776404438394
4683,0.9230542626257174,0.07694573737428252
15733,0.9990758201649588,0.0009241798350413583
22073,0.9997958158319462,0.00020418416805373856
17274,0.9996453830589695,0.00035461694103065025
25661,0.9996734634030091,0.0003265365969909269
2448,0.9991784349696858,0.0008215650303141025
2782,0.9996282068795448,0.0003717931204552795
20946,0.9957921226677127,0.004207877332287229
26697,0.9996862712523911,0.00031372874760891427
3073,0.9724701179595826,0.027529882040417297
11220,0.9935847509058009,0.006415249094199069
23961,0.9994522184462076,0.0005477815537924179
4884,0.9959603120952468,0.004039687904753364
8319,0.9995117432314136,0.0004882567685863903
24237,0.9995413500045636,0.0004586499954365301
11821,0.9985638370701898,0.0014361629298101162
2260,0.9992222841857379,0.0007777158142620517
19147,0.9996682090571039,0.00033179094289623976
8640,0.9997260924588866,0.0002739075411133164
20396,0.9990246338615837,0.0009753661384162161
12727,0.9938066236762804,0.006193376323719656
6643,0.998285933124772,0.0017140668752282145
10731,0.9959320087848795,0.004067991215120501
23948,0.9995089041122074,0.0004910958877925994
22007,0.9996504291387388,0.0003495708612613163
22031,0.9974981381050905,0.002501861894909509
26770,0.9993263102788902,0.0006736897211099868
24936,0.9990291841910287,0.0009708158089713274
5065,0.9953889415607345,0.004611058439265498
13757,0.9991651970738731,0.0008348029261269902
10342,0.9998453428001182,0.00015465719988195294
26733,0.9997653035257233,0.00023469647427672757
18425,0.9987432533556069,0.0012567466443930138
19323,0.999787817581995,0.00021218241800510129
23456,0.9985751428269299,0.0014248571730699669
20410,0.9997233297195843,0.00027667028041554757
15702,0.9993816596085808,0.0006183403914191982
21383,0.9995366925376442,0.00046330746235570167
7938,0.9951450353254234,0.004854964674576566
27089,0.9993055611577466,0.0006944388422536141
1157,0.9982927107715885,0.0017072892284115272
8865,0.9997229498238966,0.00027705017610340637
27073,0.9993403076671187,0.0006596923328813226
629,0.9998451063842442,0.00015489361575585383
8953,0.9997502930545662,0.0002497069454339437
20423,0.999199488461791,0.0008005115382090441
23657,0.9996346327935006,0.0003653672064993629
1168,0.9982777048953293,0.0017222951046709158
2248,0.999778206610981,0.00022179338901915307
15045,0.999644149592507,0.000355850407492979
17594,0.996313251451084,0.00368674854891609
10618,0.9998952587143027,0.00010474128569726692
5903,0.9810306718202437,0.018969328179756214
23256,0.994118358093118,0.005881641906881951
16357,0.9997469147868921,0.00025308521310796206
24810,0.9996502153958415,0.00034978460415842957
20661,0.9950744054248503,0.004925594575149741
12599,0.9996779499731586,0.0003220500268412504
9331,0.9938084211401748,0.006191578859825035
3571,0.9839482822757849,0.01605171772421494
24154,0.9862896701310679,0.01371032986893216
8911,0.999794499749386,0.00020550025061400563
23655,0.9991135827779764,0.0008864172220236497
10683,0.9279307398011254,0.07206926019887466
23774,0.9996449272540547,0.0003550727459451914
18905,0.9995310464049129,0.0004689535950870198
5168,0.99756564243955,0.0024343575604498717
2055,0.9996604878952277,0.00033951210477234194
14674,0.9992476055953923,0.000752394404607688
3014,0.999755533569219,0.0002444664307808733
20579,0.8848025653066506,0.11519743469334932
2359,0.9995193204991332,0.0004806795008668375
4236,0.9988113267056137,0.0011886732943862885
8455,0.9981013811053178,0.0018986188946823856
19257,0.9993492852018395,0.0006507147981604362
13405,0.9989660580937837,0.0010339419062163186
25369,0.9995273238573905,0.0004726761426095646
13223,0.9939715168469473,0.006028483153052559
17321,0.9994787583733682,0.0005212416266318367
21742,0.9982136330094727,0.0017863669905271902
25865,0.9989907554366027,0.0010092445633975275
8217,0.9984845102676458,0.0015154897323542704
17898,0.9997046448370565,0.00029535516294348604
2111,0.9994831470162295,0.0005168529837705828
16725,0.9997751564165366,0.00022484358346315476
20262,0.999842590238538,0.00015740976146175683
19595,0.9992402104976018,0.0007597895023982165
778,0.9997225052634656,0.0002774947365344293
14765,0.9991308373815794,0.0008691626184205161
10166,0.9993872950456592,0.0006127049543409025
11767,0.9997935763166641,0.00020642368333592356
11955,0.9946274134546431,0.005372586545356943
19157,0.9998256480305412,0.00017435196945874426
65,0.9937478099893978,0.006252190010602219
25119,0.998809718910389,0.0011902810896110096
9770,0.9906967610046846,0.00930323899531568
1273,0.9996531833525553,0.00034681664744482877
15070,0.999711293294024,0.0002887067059758343
24456,0.9844698852662244,0.015530114733775746
9712,0.9879211798917535,0.012078820108246294
4926,0.9993438027519171,0.0006561972480829608
13069,0.9996049006197488,0.0003950993802510585
18894,0.9991526795287041,0.0008473204712958325
8573,0.9997928186128533,0.00020718138714670252
13403,0.999027208401787,0.0009727915982128048
16617,0.9962338496589933,0.0037661503410065873
18265,0.9463615660664012,0.0536384339335987
4617,0.9690759933583992,0.03092400664160089
17360,0.9996010007166876,0.00039899928331245534
8399,0.9611663905677132,0.03883360943228687
7514,0.9986957372769565,0.00130426272304332
1805,0.997329190582629,0.0026708094173709695
2269,0.9991977012058089,0.0008022987941910876
23402,0.9993070162292478,0.0006929837707521749
25830,0.9992580802078631,0.0007419197921368821
12614,0.9944096435759122,0.0055903564240876585
5292,0.9979742345610567,0.002025765438943287
3501,0.999156940109587,0.0008430598904128506
13208,0.9989040754074573,0.0010959245925426298
3535,0.5927123921968621,0.40728760780313783
14326,0.9997387031844698,0.00026129681553026745
22200,0.9988992058903503,0.0011007941096496901
19405,0.9775593919813392,0.022440608018660702
5651,0.9878601567433173,0.012139843256682823
4175,0.9917471275640078,0.008252872435992105
198,0.9936894059970498,0.006310594002950178
4625,0.9939306548222029,0.006069345177797138
22870,0.9996363113429048,0.0003636886570952496
6620,0.9995720913738455,0.00042790862615440855
8482,0.9987456656572092,0.0012543343427905665
4527,0.9979653341336977,0.0020346658663025147
6723,0.9995878559563764,0.00041214404362360557
7729,0.9981089248749603,0.0018910751250396543
18579,0.9995821121358975,0.0004178878641022714
1437,0.9996367004171516,0.0003632995828482898
11215,0.9986877425384164,0.0013122574615836923
9637,0.9990915762633444,0.0009084237366556456
16974,0.9511698318235625,0.04883016817643749
6005,0.9938865390474881,0.006113460952511811
12518,0.9998128880270923,0.0001871119729075877
21054,0.9984353945281171,0.0015646054718829636
5070,0.9967801445085135,0.0032198554914865925
10769,0.9927645286429724,0.00723547135702762
20173,0.9996749682587723,0.00032503174122761746
24917,0.9995254140616064,0.0004745859383935699
18765,0.9940781091870929,0.005921890812907022
14310,0.9997441182935577,0.00025588170644219414
24137,0.9995827926682074,0.00041720733179262154
14009,0.9978534036326739,0.0021465963673261332
5880,0.9889510281421041,0.011048971857895773
8719,0.9997410027674527,0.00025899723254748627
15907,0.9995693796705812,0.0004306203294188032
7552,0.9961547197431013,0.0038452802568987713
9482,0.9989931148584944,0.0010068851415056114
9844,0.996952576221508,0.0030474237784920734
15808,0.9795442979524652,0.02045570204753453
1036,0.9994958508214221,0.0005041491785779647
14754,0.9988952207543008,0.0011047792456992695
2035,0.9994197723284342,0.0005802276715657453
14690,0.9959795134482672,0.004020486551732912
2065,0.9997963102406987,0.00020368975930125756
23001,0.9996034382333587,0.0003965617666411103
1817,0.996769084754317,0.003230915245683082
17943,0.9995193576021774,0.0004806423978227038
25088,0.9989148902167434,0.0010851097832565288
21741,0.9983999620467345,0.0016000379532653474
8915,0.9998255694771919,0.00017443052280808393
17035,0.9902363330499997,0.009763666950000333
7194,0.9896148659904809,0.010385134009519131
1619,0.996812435524244,0.003187564475755893
11035,0.9992706350877298,0.0007293649122700207
26856,0.9995154067546703,0.0004845932453296189
19647,0.9844209639873973,0.015579036012602698
17675,0.9997369766553832,0.0002630233446166893
27058,0.9996583394096217,0.0003416605903782291
22493,0.7940869894002841,0.205913010599716
8143,0.9940074757784754,0.005992524221524686
2183,0.9994285752833307,0.0005714247166693046
15365,0.9994852901367594,0.0005147098632405643
21919,0.9996576522079648,0.0003423477920351884
9312,0.9984887631473827,0.0015112368526172355
1978,0.8785264385016723,0.12147356149832766
26665,0.9995800392239401,0.00041996077605989304
2787,0.9994298722989441,0.0005701277010557885
6893,0.99931600791021,0.0006839920897898459
19190,0.9997648164787301,0.00023518352126981909
16860,0.9855386987815921,0.014461301218407979
14569,0.998909194561525,0.0010908054384749465
