d3mIndex,p_0,p_1
0,0.9711036,0.028896399
1,0.5747899,0.42521012
2,0.66525865,0.33474135
3,0.86728615,0.13271385
4,0.86362946,0.13637052
5,0.9183992,0.0816008
6,0.95707756,0.042922422
7,0.9583531,0.041646916
8,0.8870863,0.1129137
9,0.96647257,0.033527423
10,0.9639609,0.036039114
11,0.9767535,0.023246499
12,0.9667004,0.03329965
13,0.9847014,0.015298624
14,0.98110443,0.018895548
15,0.98451024,0.015489753
16,0.98285073,0.017149298
17,0.98285073,0.017149298
18,0.9876582,0.012341778
19,0.9871747,0.012825289
20,0.98193914,0.018060885
21,0.98370326,0.016296744
22,0.98439205,0.015607974
23,0.9855716,0.014428352
24,0.985681,0.014319009
25,0.9859241,0.014075878
26,0.98562115,0.014378842
27,0.98562115,0.014378842
28,0.98562115,0.014378842
29,0.9854456,0.014554409
30,0.98376167,0.016238315
31,0.9823254,0.017674606
32,0.9842323,0.015767718
33,0.98488927,0.015110718
34,0.9851661,0.014833927
35,0.98737645,0.012623552
36,0.9932345,0.006765501
37,0.99394363,0.0060563395
38,0.9932987,0.006701317
39,0.9935864,0.006413583
40,0.9931495,0.006850499
41,0.99179703,0.008202949
42,0.99353284,0.006467168
43,0.9939629,0.006037115
44,0.9942804,0.005719623
45,0.99353284,0.006467168
46,0.9939629,0.006037115
47,0.9939629,0.006037115
48,0.9860304,0.0139695825
49,0.99205154,0.007948474
50,0.9935673,0.006432688
51,0.9935359,0.0064641084
52,0.9935359,0.0064641084
53,0.9935359,0.0064641084
54,0.9935359,0.0064641084
55,0.9935359,0.0064641084
56,0.99378675,0.006213223
57,0.9932863,0.0067136753
58,0.9938389,0.0061610895
59,0.9938389,0.0061610895
60,0.9938689,0.0061311326
61,0.9938689,0.0061311326
62,0.9938389,0.0061610895
63,0.9938389,0.0061610895
64,0.9938389,0.0061610895
65,0.99339926,0.0066007557
66,0.99249834,0.0075016865
67,0.9918442,0.008155825
68,0.97534543,0.024654567
69,0.9751505,0.024849499
70,0.97534543,0.024654567
71,0.9763011,0.02369893
72,0.9751505,0.024849499
73,0.9751505,0.024849499
74,0.9728091,0.0271909
75,0.9738433,0.026156716
76,0.9738433,0.026156716
77,0.9744705,0.02552953
78,0.9728091,0.0271909
79,0.9738433,0.026156716
80,0.9738433,0.026156716
81,0.9728091,0.0271909
82,0.6513927,0.3486073
83,0.71116793,0.28883207
84,0.7440282,0.2559718
85,0.7296775,0.2703225
86,0.6513927,0.3486073
87,0.6513927,0.3486073
88,0.6513927,0.3486073
89,0.98576945,0.014230523
90,0.98441005,0.015589982
91,0.9846212,0.015378751
92,0.9891543,0.010845722
93,0.98723686,0.012763123
94,0.9823015,0.017698549
95,0.985006,0.014994022
96,0.9864774,0.01352263
97,0.9856649,0.014335089
98,0.9880127,0.0119873015
99,0.9867605,0.013239507
100,0.987684,0.0123160025
101,0.99009967,0.009900335
102,0.99381894,0.006181089
103,0.9952276,0.0047724107
104,0.99526066,0.004739315
105,0.9959216,0.0040783896
106,0.9958642,0.0041357726
107,0.9956698,0.004330223
108,0.9957615,0.004238511
109,0.9957847,0.004215302
110,0.9965203,0.0034797085
111,0.99569356,0.0043064444
112,0.99418694,0.005813047
113,0.9942383,0.005761656
114,0.9944248,0.005575191
115,0.99576974,0.0042302716
116,0.9954033,0.004596725
117,0.9898082,0.01019177
118,0.99111027,0.008889751
119,0.9927888,0.0072111874
120,0.99336815,0.0066318708
121,0.9940166,0.0059834174
122,0.9928908,0.0071092206
123,0.9918133,0.008186678
124,0.996722,0.0032779877
125,0.99793893,0.0020610716
126,0.9847212,0.015278788
127,0.98773015,0.012269842
128,0.9900768,0.009923213
129,0.99148536,0.0085146595
130,0.9918555,0.008144484
131,0.9921579,0.007842131
132,0.9830771,0.016922891
133,0.98512167,0.014878347
134,0.9853319,0.014668134
135,0.987555,0.0124449935
136,0.9896093,0.010390687
137,0.9896093,0.010390687
138,0.9893175,0.010682499
139,0.991165,0.008835045
140,0.9941037,0.0058962707
141,0.9945212,0.0054788073
142,0.9943213,0.005678708
143,0.9952498,0.004750188
144,0.99606013,0.0039398526
145,0.99419594,0.0058040754
146,0.99571127,0.0042887214
147,0.9948725,0.0051275026
148,0.99548626,0.0045137266
149,0.99603677,0.0039632563
150,0.99597716,0.0040228623
151,0.9956893,0.0043107504
152,0.9956664,0.0043336307
153,0.99590755,0.0040924437
154,0.9950436,0.0049564093
155,0.9947863,0.0052136965
156,0.9955113,0.0044887085
157,0.99582005,0.0041799447
158,0.99529487,0.0047051203
159,0.7479351,0.25206488
160,0.8918995,0.108100496
161,0.88821983,0.11178016
162,0.9399441,0.06005591
163,0.9455885,0.05441147
164,0.945333,0.054667003
165,0.87008643,0.12991358
166,0.92190415,0.07809584
167,0.93392956,0.06607046
168,0.9559003,0.044099666
169,0.95511323,0.04488679
170,0.9650625,0.034937516
171,0.96404725,0.035952732
172,0.9699096,0.030090412
173,0.9794171,0.020582931
174,0.9798562,0.020143788
175,0.9843089,0.015691089
176,0.98796237,0.012037636
177,0.99310815,0.006891821
178,0.9929534,0.007046605
179,0.99360865,0.0063913753
180,0.99360865,0.0063913753
181,0.99396783,0.006032187
182,0.99396783,0.006032187
183,0.99396783,0.006032187
184,0.9937807,0.00621935
185,0.9937807,0.00621935
186,0.993375,0.006624979
187,0.99198073,0.008019289
188,0.99073946,0.009260529
189,0.9920319,0.007968121
190,0.99277955,0.007220441
191,0.9927402,0.007259777
192,0.9938291,0.0061709424
193,0.9938291,0.0061709424
194,0.9938291,0.0061709424
195,0.9935587,0.0064413
196,0.9935587,0.0064413
197,0.99425316,0.0057468126
198,0.99425316,0.0057468126
199,0.9948021,0.0051979
200,0.9948021,0.0051979
201,0.9948021,0.0051979
202,0.9948021,0.0051979
203,0.9929003,0.007099695
204,0.9922529,0.007747094
205,0.99175197,0.008248032
206,0.98628193,0.01371808
207,0.98628193,0.01371808
208,0.9873781,0.012621866
209,0.98647916,0.01352081
210,0.98628193,0.01371808
211,0.98628193,0.01371808
212,0.98647916,0.01352081
213,0.98628193,0.01371808
214,0.9892613,0.010738688
215,0.98628193,0.01371808
216,0.9855572,0.014442795
217,0.9897466,0.010253416
218,0.9911407,0.008859293
219,0.9909838,0.009016197
220,0.9921211,0.007878917
221,0.9925846,0.007415442
222,0.990938,0.009061975
223,0.99095607,0.00904395
224,0.64687,0.35313
225,0.8556361,0.14436385
226,0.8912667,0.10873331
227,0.92142653,0.07857344
228,0.64687,0.35313
229,0.64687,0.35313
230,0.64687,0.35313
231,0.8556361,0.14436385
232,0.8912667,0.10873331
233,0.91248286,0.08751714
234,0.9470365,0.0529635
235,0.94404113,0.055958875
236,0.94129133,0.05870864
237,0.95636237,0.04363762
238,0.95300907,0.04699093
239,0.97013104,0.029868945
240,0.9762589,0.023741156
241,0.9731089,0.026891114
242,0.97254825,0.027451767
243,0.9747683,0.025231745
244,0.9770103,0.022989688
245,0.9752956,0.024704421
246,0.9762183,0.023781706
247,0.97683203,0.023167944
248,0.9760347,0.023965286
249,0.6923931,0.30760688
250,0.75557005,0.24442998
