d3mIndex,p_0,p_1
9520,1.0,0.0
2185,1.0,0.0
20087,1.0,0.0
4211,0.5454545454545454,0.45454545454545453
23533,1.0,0.0
12603,1.0,0.0
8679,1.0,0.0
24860,1.0,0.0
12399,1.0,0.0
16628,1.0,0.0
12170,1.0,0.0
18817,1.0,0.0
22682,1.0,0.0
20453,1.0,0.0
3624,1.0,0.0
1076,1.0,0.0
15981,1.0,0.0
10474,1.0,0.0
10660,0.9090909090909091,0.09090909090909091
21910,1.0,0.0
10313,1.0,0.0
1965,1.0,0.0
13503,1.0,0.0
12301,1.0,0.0
22928,1.0,0.0
5275,1.0,0.0
8574,1.0,0.0
24462,1.0,0.0
2728,1.0,0.0
21010,1.0,0.0
15244,1.0,0.0
8866,1.0,0.0
3941,1.0,0.0
7170,1.0,0.0
18689,1.0,0.0
21789,1.0,0.0
19710,1.0,0.0
22787,1.0,0.0
26356,1.0,0.0
5521,1.0,0.0
11021,1.0,0.0
26648,1.0,0.0
16219,1.0,0.0
4336,1.0,0.0
1316,1.0,0.0
3181,1.0,0.0
727,1.0,0.0
9378,1.0,0.0
9610,1.0,0.0
13551,1.0,0.0
8966,1.0,0.0
3807,1.0,0.0
20541,1.0,0.0
5324,1.0,0.0
495,1.0,0.0
7767,1.0,0.0
12637,1.0,0.0
6283,1.0,0.0
10228,1.0,0.0
4102,1.0,0.0
23102,1.0,0.0
18142,1.0,0.0
280,1.0,0.0
2705,1.0,0.0
24733,1.0,0.0
25525,1.0,0.0
24902,1.0,0.0
21601,1.0,0.0
20415,1.0,0.0
12469,1.0,0.0
19848,1.0,0.0
24193,1.0,0.0
26434,1.0,0.0
5114,1.0,0.0
1946,0.6363636363636364,0.36363636363636365
21879,1.0,0.0
18850,1.0,0.0
8261,1.0,0.0
7424,1.0,0.0
19739,1.0,0.0
17402,1.0,0.0
22013,1.0,0.0
12965,1.0,0.0
13264,1.0,0.0
17475,1.0,0.0
4683,0.8181818181818182,0.18181818181818182
15733,1.0,0.0
22073,1.0,0.0
17274,1.0,0.0
25661,1.0,0.0
2448,1.0,0.0
2782,1.0,0.0
20946,1.0,0.0
26697,1.0,0.0
3073,1.0,0.0
11220,1.0,0.0
23961,1.0,0.0
4884,1.0,0.0
8319,1.0,0.0
24237,1.0,0.0
11821,1.0,0.0
2260,1.0,0.0
19147,1.0,0.0
8640,1.0,0.0
20396,1.0,0.0
12727,1.0,0.0
6643,1.0,0.0
