d3mIndex,p_0,p_1
11.0,0.5,0.5
3020.6666666666697,0.5,0.5
6030.33333333333,0.5,0.5
9040.0,0.5,0.5
12049.666666666699,0.5,0.5
15059.333333333301,0.5,0.5
18069.0,0.5,0.5
21078.6666666667,0.5,0.5
24088.3333333333,0.5,0.5
27098.0,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
13628.5,0.5,0.5
