d3mIndex,p_0,p_1
0,0.12431882648575299,0.875681173514247
1,0.21466759796704216,0.7853324020329578
2,0.9082676345270778,0.09173236547292216
3,0.9420646884344794,0.05793531156552052
4,0.9831638365327676,0.016836163467232414
5,0.9961187633247502,0.0038812366752497994
6,0.9959822321387998,0.004017767861200227
7,0.9994168702596377,0.0005831297403623137
8,0.9975500994903603,0.0024499005096396916
9,0.9990931319888378,0.000906868011162277
10,0.9987012085224503,0.0012987914775497633
11,0.995728099127632,0.004271900872367996
12,0.9937387465380954,0.006261253461904663
13,0.9973788886038034,0.002621111396196607
14,0.9977610637851043,0.0022389362148956733
15,0.9728026601515483,0.027197339848451723
16,0.9994723443726794,0.0005276556273205856
17,0.9981499347035286,0.0018500652964713166
18,0.9995063355825184,0.0004936644174815363
19,0.9937494811942383,0.006250518805761697
20,0.9987765213238287,0.0012234786761713464
21,0.9996568901629818,0.00034310983701828153
22,0.9978866383380097,0.0021133616619902766
23,0.9996639204277328,0.00033607957226717053
24,0.9994243502797691,0.0005756497202309515
25,0.9998416918590172,0.00015830814098281376
26,0.9997898378472425,0.00021016215275745275
27,0.9998878514414726,0.00011214855852734143
28,0.9996729247103344,0.0003270752896656124
29,0.9996944445089206,0.0003055554910793977
30,0.9957212321969517,0.004278767803048252
31,0.9996316580797263,0.00036834192027367985
32,0.9997313542665561,0.0002686457334439118
33,0.9999002613812127,9.973861878734081e-05
34,0.9995317437656666,0.00046825623433348004
35,0.9997448651848342,0.0002551348151658377
36,0.9996149126329049,0.0003850873670951018
37,0.9990520639180561,0.0009479360819438803
38,0.9998326579382022,0.00016734206179782338
39,0.9998297095803137,0.00017029041968632188
40,0.9997635190773018,0.0002364809226982185
41,0.9992644794275894,0.0007355205724105911
42,0.9998501224293971,0.00014987757060294868
43,0.9998570654049385,0.00014293459506158412
44,0.9998049797947155,0.00019502020528452347
45,0.9998888908161212,0.00011110918387877973
46,0.9999739051657169,2.6094834283066664e-05
47,0.9999123748103296,8.762518967048106e-05
48,0.9997795679576166,0.00022043204238338668
49,0.999874581428973,0.00012541857102697177
50,0.9999027931228219,9.720687717810906e-05
51,0.9997563432461601,0.00024365675383982815
52,0.9997808220300349,0.00021917796996504527
53,0.9998243736380953,0.00017562636190467326
54,0.9998944472984749,0.00010555270152512417
55,0.9998029996241516,0.00019700037584832953
56,0.9988920079710435,0.0011079920289565422
57,0.999862770125486,0.00013722987451405503
58,0.9998689238316887,0.00013107616831129236
59,0.9997817878484697,0.00021821215153033243
60,0.9999439260390072,5.6073960992839e-05
61,0.9999900508879246,9.949112075436931e-06
62,0.9999755423646927,2.4457635307353207e-05
63,0.9999762427228687,2.3757277131380432e-05
64,0.999199375397802,0.0008006246021979916
65,0.9999760639637904,2.3936036209697078e-05
66,0.9998490832525442,0.00015091674745587358
67,0.9999307471672055,6.925283279449949e-05
68,0.9868377400098531,0.013162259990146837
69,0.9964968554641006,0.003503144535899426
70,0.9974337251896807,0.0025662748103193393
71,0.9999272380852227,7.276191477738475e-05
72,0.9996826310593862,0.00031736894061387634
73,0.9964968554641006,0.003503144535899426
74,0.9957663580380148,0.0042336419619851745
75,0.9999531812655643,4.681873443570814e-05
76,0.9999531812655643,4.681873443570814e-05
77,0.9780407086007002,0.021959291399299776
78,0.9945238019001116,0.005476198099888409
79,0.9945238019001116,0.005476198099888409
80,0.9945238019001116,0.005476198099888409
81,0.04154423244299954,0.9584557675570005
82,0.999465289465362,0.0005347105346380321
83,0.7412322084125764,0.25876779158742363
84,0.9555063786033027,0.044493621396697346
