sftpcons,d3mIndex
0,0
0,1
0,2
0,3
1,4
0,5
0,6
0,7
0,8
1,9
0,10
1,11
0,12
1,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
1,26
1,27
0,28
0,29
1,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
1,39
1,40
1,41
1,42
0,43
1,44
0,45
0,46
1,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
1,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
1,74
1,75
0,76
0,77
1,78
1,79
0,80
1,81
1,82
1,83
1,84
1,85
0,86
0,87
1,88
1,89
0,90
0,91
1,92
0,93
0,94
0,95
0,96
0,97
0,98
1,99
1,100
0,101
0,102
0,103
1,104
1,105
1,106
0,107
0,108
0,109
1,110
0,111
0,112
0,113
0,114
0,115
0,116
1,117
0,118
1,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
1,140
0,141
0,142
0,143
1,144
1,145
1,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
1,157
1,158
1,159
0,160
0,161
0,162
1,163
1,164
0,165
0,166
0,167
1,168
1,169
1,170
1,171
1,172
0,173
0,174
0,175
0,176
0,177
0,178
1,179
0,180
0,181
0,182
0,183
1,184
1,185
1,186
1,187
1,188
0,189
0,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
1,198
0,199
0,200
0,201
0,202
1,203
0,204
0,205
0,206
0,207
0,208
0,209
0,210
0,211
0,212
0,213
0,214
0,215
0,216
1,217
0,218
0,219
0,220
0,221
0,222
0,223
0,224
1,225
0,226
0,227
0,228
0,229
0,230
1,231
1,232
1,233
1,234
1,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
1,246
1,247
0,248
0,249
0,250
0,251
0,252
0,253
1,254
0,255
0,256
0,257
0,258
0,259
0,260
0,261
0,262
0,263
0,264
0,265
0,266
0,267
0,268
0,269
0,270
0,271
0,272
0,273
0,274
0,275
0,276
0,277
1,278
1,279
0,280
0,281
1,282
0,283
0,284
0,285
1,286
0,287
1,288
0,289
0,290
0,291
0,292
0,293
0,294
0,295
0,296
0,297
0,298
0,299
0,300
1,301
1,302
0,303
0,304
0,305
0,306
0,307
0,308
0,309
1,310
0,311
0,312
0,313
0,314
0,315
0,316
0,317
0,318
0,319
0,320
0,321
1,322
1,323
0,324
0,325
0,326
0,327
0,328
1,329
1,330
0,331
1,332
1,333
1,334
1,335
1,336
0,337
1,338
1,339
1,340
0,341
0,342
0,343
0,344
0,345
0,346
0,347
0,348
0,349
0,350
0,351
1,352
1,353
1,354
1,355
0,356
0,357
0,358
0,359
1,360
1,361
1,362
0,363
0,364
0,365
1,366
1,367
1,368
1,369
1,370
1,371
0,372
0,373
0,374
0,375
1,376
0,377
0,378
0,379
1,380
0,381
0,382
0,383
0,384
0,385
0,386
1,387
0,388
0,389
1,390
1,391
1,392
0,393
0,394
1,395
1,396
1,397
1,398
1,399
1,400
0,401
0,402
0,403
0,404
0,405
1,406
0,407
0,408
0,409
0,410
0,411
0,412
0,413
0,414
0,415
0,416
0,417
0,418
0,419
1,420
0,421
0,422
0,423
0,424
0,425
0,426
0,427
0,428
1,429
1,430
1,431
0,432
0,433
0,434
0,435
1,436
1,437
1,438
0,439
0,440
0,441
0,442
0,443
1,444
0,445
0,446
0,447
0,448
0,449
0,450
1,451
1,452
1,453
0,454
0,455
1,456
0,457
0,458
0,459
0,460
0,461
0,462
0,463
1,464
1,465
1,466
0,467
