d3mIndex,p_0,p_1
0.0,0.824,0.176
50.5555555555556,0.824,0.176
101.11111111111099,0.824,0.176
151.666666666667,0.824,0.176
202.22222222222197,0.824,0.176
252.77777777777803,0.824,0.176
303.33333333333303,0.824,0.176
353.888888888889,0.824,0.176
404.44444444444395,0.824,0.176
455.0,0.824,0.176
227.5,0.824,0.176
227.5,0.824,0.176
227.5,0.824,0.176
227.5,0.678,0.322
227.5,0.824,0.176
227.5,0.124,0.876
227.5,0.824,0.176
227.5,0.816,0.184
227.5,0.824,0.176
227.5,0.8,0.2
227.5,0.824,0.176
227.5,0.218,0.782
227.5,0.74,0.26
227.5,0.74,0.26
227.5,0.75,0.25
227.5,0.82,0.18
227.5,0.828,0.172
227.5,0.826,0.174
227.5,0.826,0.174
227.5,0.81,0.19
227.5,0.592,0.408
227.5,0.536,0.464
227.5,0.824,0.176
227.5,0.176,0.824
227.5,0.824,0.176
227.5,0.638,0.362
227.5,0.706,0.294
227.5,0.798,0.202
227.5,0.812,0.188
227.5,0.82,0.18
227.5,0.824,0.176
227.5,0.824,0.176
227.5,0.806,0.194
227.5,0.778,0.222
227.5,0.778,0.222
227.5,0.746,0.254
227.5,0.8,0.2
227.5,0.802,0.198
227.5,0.79,0.21
227.5,0.826,0.174
227.5,0.904,0.096
227.5,0.848,0.152
227.5,0.858,0.142
227.5,0.86,0.14
227.5,0.86,0.14
227.5,0.86,0.14
227.5,0.88,0.12
227.5,0.88,0.12
227.5,0.888,0.112
227.5,0.816,0.184
227.5,0.828,0.172
227.5,0.548,0.452
227.5,0.82,0.18
227.5,0.814,0.186
227.5,0.754,0.246
227.5,0.762,0.238
227.5,0.824,0.176
227.5,0.83,0.17
227.5,0.858,0.142
227.5,0.858,0.142
227.5,0.824,0.176
227.5,0.82,0.18
227.5,0.828,0.172
227.5,0.824,0.176
227.5,0.742,0.258
227.5,0.484,0.516
227.5,0.824,0.176
227.5,0.78,0.22
227.5,0.824,0.176
227.5,0.82,0.18
227.5,0.824,0.176
227.5,0.82,0.18
227.5,0.862,0.138
227.5,0.872,0.128
227.5,0.878,0.122
227.5,0.83,0.17
227.5,0.808,0.192
227.5,0.834,0.166
227.5,0.842,0.158
227.5,0.822,0.178
227.5,0.814,0.186
227.5,0.898,0.102
227.5,0.82,0.18
227.5,0.828,0.172
227.5,0.878,0.122
227.5,0.872,0.128
227.5,0.876,0.124
227.5,0.866,0.134
227.5,0.714,0.286
227.5,0.904,0.096
227.5,0.97,0.03
227.5,0.972,0.028
227.5,0.824,0.176
227.5,0.792,0.208
227.5,0.824,0.176
227.5,0.804,0.196
