d3mIndex,sftpcons,sftptv2a3,sftptv2a4,sftptv2a5,sftptv2a2,sftptv2a6,logim,maccat,disp4cat,stratidc,log_gdpc,logtpop,logmtn,feanctig,floil,sftpdur2,ethherf,relhrel,anocracy,democracy
153,1,1,0,0,0,0,-0.255731731653214,0,1,197841,7.40750598907471,6.605298042297361,1.19392251968384,0,0,0,0.37564995884895297,0.26259884238243103,1,0
164,0,0,0,1,0,0,0.5078037977218629,0,1,196121,5.22934246063232,12.977068901062,2.63188886642456,1,0,0,0.19411721825599693,0.6971676349639889,0,1
194,0,0,0,0,1,0,-0.8226812481880191,0,0,196642,6.46852159500122,7.45876264572144,1.3350011110305802,0,0,0,0.625862002372742,0.571869790554047,0,1
236,0,0,0,0,0,0,0.563186824321747,0,1,198511,6.98988819122314,7.45587682723999,0.0,0,0,0,0.40303122997283897,0.980199992656708,0,0
186,0,0,0,0,1,0,-1.63141679763794,0,0,199431,9.81841278076172,10.949577331542999,3.14415216445923,1,0,0,0.891538798809052,0.68994003534317,0,1
264,0,0,0,1,0,0,1.20397281646729,0,0,199812,6.69990682601929,9.27265739440918,0.336472243070602,0,0,0,0.205571115016937,0.756600022315979,0,1
303,1,0,1,0,0,0,1.19410836696625,0,1,199611,6.68672180175781,9.075093269348141,1.13140213489532,0,0,1,0.360802233219147,0.8378959894180301,0,1
106,0,1,0,0,0,0,-0.0604733936488628,0,1,197842,7.12509822845459,8.55120849609375,2.85647010803223,0,0,0,0.5656936168670649,0.906917989253998,1,0
413,0,0,0,0,0,0,0.446081519126892,0,0,197213,6.21470832824707,7.6078782081604,0.0,0,0,0,0.18602050840854606,0.39400601387023904,0,0
63,0,0,0,0,0,0,0.31360766291618297,0,0,198011,6.4183650016784695,9.01881694793701,2.92852354049683,0,0,0,0.17767196893692005,0.255982011556625,0,0
315,1,0,0,0,0,0,0.681559562683105,1,1,198322,6.69293928146362,11.3311281204224,3.78418970108032,0,0,0,0.403572171926498,0.546059489250183,0,0
390,0,0,0,0,0,0,0.241018906235695,0,0,199112,7.87891292572021,6.710523128509519,2.7850112915039102,0,0,0,0.846607506275177,0.273272007703781,0,0
401,0,0,0,0,0,0,-1.02818155288696,0,1,197221,6.74881839752197,9.59396839141846,3.86283278465271,0,0,0,0.648341953754425,0.435612261295319,0,0
429,0,0,0,0,0,0,-0.641335189342499,0,0,198052,9.94860458374023,6.67959928512573,0.0,0,1,0,0.503738880157471,0.416431367397308,0,0
