sftpcons,d3mIndex
1,0.0
1,50.5555555555556
1,101.11111111111099
1,151.666666666667
1,202.22222222222197
1,252.77777777777803
1,303.33333333333303
1,353.888888888889
1,404.44444444444395
1,455.0
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
0,227.5
0,227.5
0,227.5
0,227.5
0,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
0,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
0,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
0,227.5
0,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
0,227.5
0,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
1,227.5
