d3mIndex,p_0,p_1
153,0.072,0.928
164,0.906,0.094
194,0.98,0.02
236,0.972,0.028
186,0.978,0.022
264,0.956,0.044
303,0.086,0.914
106,0.992,0.008
413,1.0,0.0
63,0.99,0.01
315,0.012,0.988
390,0.976,0.024
401,0.97,0.03
429,0.998,0.002
89,0.08,0.92
308,0.996,0.004
93,0.98,0.02
302,0.966,0.034
282,0.998,0.002
255,0.958,0.042
92,0.082,0.918
18,0.996,0.004
145,0.992,0.008
158,0.046,0.954
150,0.99,0.01
229,0.988,0.012
210,0.974,0.026
188,0.992,0.008
394,0.976,0.024
66,0.964,0.036
283,0.984,0.016
208,0.996,0.004
140,0.99,0.01
101,0.076,0.924
367,1.0,0.0
444,0.978,0.022
374,0.088,0.912
17,1.0,0.0
146,0.986,0.014
438,0.102,0.898
418,0.986,0.014
30,0.052,0.948
114,0.024,0.976
449,0.07,0.93
103,1.0,0.0
231,0.996,0.004
284,0.966,0.034
176,0.982,0.018
407,0.998,0.002
116,0.062,0.938
168,0.98,0.02
378,0.982,0.018
120,0.976,0.024
230,0.996,0.004
112,0.986,0.014
295,0.068,0.932
357,0.91,0.09
136,0.984,0.016
190,0.99,0.01
318,1.0,0.0
233,0.952,0.048
126,0.978,0.022
386,0.98,0.02
271,0.956,0.044
343,0.994,0.006
325,0.062,0.938
133,0.98,0.02
33,0.998,0.002
433,0.082,0.918
162,0.97,0.03
34,1.0,0.0
44,0.96,0.04
97,0.982,0.018
85,0.058,0.942
61,0.952,0.048
167,0.058,0.942
199,0.09,0.91
173,0.068,0.932
241,0.984,0.016
250,0.996,0.004
447,0.926,0.074
391,0.968,0.032
347,0.968,0.032
108,0.93,0.07
349,0.982,0.018
218,0.088,0.912
46,0.98,0.02
368,0.992,0.008
238,0.996,0.004
393,0.94,0.06
73,0.994,0.006
137,0.986,0.014
436,0.916,0.084
35,0.998,0.002
263,0.088,0.912
29,0.992,0.008
181,0.998,0.002
332,0.014,0.986
312,0.966,0.034
51,0.062,0.938
387,0.08,0.92
405,0.98,0.02
217,0.924,0.076
446,0.074,0.926
27,0.038,0.962
2,0.122,0.878
232,0.992,0.008
268,0.998,0.002
156,0.98,0.02
306,0.988,0.012
431,1.0,0.0
235,0.996,0.004
316,0.06,0.94
138,0.984,0.016
212,0.97,0.03
104,0.086,0.914
385,0.99,0.01
317,0.998,0.002
322,0.99,0.01
215,1.0,0.0
352,0.07,0.93
189,0.996,0.004
214,0.968,0.032
204,0.942,0.058
234,0.954,0.046
259,0.984,0.016
67,0.984,0.016
24,0.974,0.026
216,0.988,0.012
223,0.11,0.89
129,0.082,0.918
111,0.082,0.918
166,0.928,0.072
380,0.964,0.036
360,0.928,0.072
40,0.074,0.926
328,0.07,0.93
79,0.062,0.938
287,0.998,0.002
289,1.0,0.0
13,0.064,0.936
375,0.966,0.034
450,0.066,0.934
228,0.052,0.948
161,0.082,0.918
83,0.974,0.026
453,0.084,0.916
430,0.998,0.002
110,0.964,0.036
149,0.998,0.002
152,0.922,0.078
16,0.994,0.006
310,0.99,0.01
109,0.982,0.018
451,0.936,0.064
139,0.07,0.93
237,0.992,0.008
260,0.994,0.006
329,0.018,0.982
366,0.998,0.002
248,0.956,0.044
353,0.064,0.936
19,0.996,0.004
296,0.948,0.052
269,0.968,0.032
226,0.034,0.966
351,0.986,0.014
3,0.978,0.022
320,0.986,0.014
125,0.984,0.016
280,0.99,0.01
286,0.988,0.012
77,0.964,0.036
184,0.984,0.016
345,0.926,0.074
434,0.048,0.952
275,0.056,0.944
294,0.028,0.972
414,0.998,0.002
182,0.998,0.002
409,0.94,0.06
80,0.026,0.974
307,0.984,0.016
258,0.988,0.012
11,0.062,0.938
342,0.976,0.024
86,0.93,0.07
266,0.996,0.004
36,0.986,0.014
437,0.96,0.04
58,0.972,0.028
41,0.954,0.046
270,0.956,0.044
50,0.942,0.058
209,0.966,0.034
363,0.994,0.006
362,0.054,0.946
379,0.958,0.042
123,0.994,0.006
222,0.978,0.022
62,0.994,0.006
346,0.092,0.908
130,0.926,0.074
187,0.996,0.004
23,0.994,0.006
43,0.996,0.004
0,0.96,0.04
201,0.972,0.028
439,0.056,0.944
98,0.98,0.02
304,0.996,0.004
443,0.954,0.046
178,1.0,0.0
256,0.986,0.014
94,0.994,0.006
423,1.0,0.0
95,0.998,0.002
426,0.016,0.984
169,0.992,0.008
69,0.992,0.008
305,0.994,0.006
48,0.944,0.056
341,0.984,0.016
207,0.998,0.002
