d3mIndex,p_0,p_1
0,0.8256659314977898,0.17433406850221037
1,0.8111993323657056,0.1888006676342948
2,0.6001654623585625,0.39983453764143756
3,0.8329134357887229,0.16708656421127746
4,0.3124889108547231,0.6875110891452769
5,0.9154756639124014,0.0845243360875985
6,0.8971690605993845,0.10283093940061544
7,0.8880146408638245,0.11198535913617551
8,0.2982229437229438,0.7017770562770564
9,0.3505203549270775,0.6494796450729227
10,0.7712776386608169,0.22872236133918314
11,0.22454297435130358,0.7754570256486963
12,0.8618217648026616,0.13817823519733832
13,0.47031657975667157,0.5296834202433284
14,0.95809764922327,0.04190235077672977
15,0.9719364886365304,0.028063511363469327
16,0.9662138950932814,0.033786104906718475
17,0.9583121594899153,0.041687840510084534
18,0.9690516597761619,0.030948340223837835
19,0.9642114528206498,0.035788547179349844
20,0.9843607066246585,0.01563929337534147
21,0.8792738187558636,0.12072618124413607
22,0.9174628409848438,0.0825371590151559
23,0.8965901803305055,0.1034098196694946
24,0.8425428101086676,0.15745718989133217
25,0.89609295062264,0.10390704937735988
26,0.2943900125192206,0.7056099874807796
27,0.1608506233660485,0.8391493766339514
28,0.9136449804368714,0.08635501956312876
29,0.9144049728646836,0.08559502713531643
30,0.17418620523418862,0.8258137947658113
31,0.8619186229999117,0.13808137700008816
32,0.8544152847944037,0.14558471520559596
33,0.9335503318987469,0.0664496681012532
34,0.937177155510699,0.06282284448930134
35,0.924539985141012,0.07546001485898828
36,0.9202415122739231,0.07975848772607713
37,0.8309914277969223,0.16900857220307752
38,0.8590788356435829,0.14092116435641722
39,0.6153454667446214,0.38465453325537874
40,0.35002615150172195,0.6499738484982781
41,0.7998541754279347,0.200145824572065
42,0.7887190952489557,0.21128090475104436
43,0.838439148554761,0.16156085144523938
44,0.7918471031903194,0.20815289680968072
45,0.8956049552545138,0.10439504474548641
46,0.8997383544810736,0.1002616455189268
47,0.3743369232795743,0.6256630767204259
48,0.7865431131890106,0.21345688681098907
49,0.8414655863213869,0.158534413678613
50,0.844915054691402,0.155084945308598
51,0.5801023995399888,0.41989760046001096
52,0.7924390525165138,0.20756094748348608
53,0.8288302855344041,0.17116971446559595
54,0.799639185267678,0.2003608147323222
55,0.7030300865626521,0.29696991343734774
56,0.3512327561024029,0.6487672438975971
57,0.6622414715249113,0.33775852847508864
58,0.7836092378265848,0.21639076217341502
59,0.9362275516345318,0.06377244836546851
60,0.8731493917280647,0.126850608271935
61,0.8706726164811126,0.1293273835188872
62,0.8884827977848829,0.11151720221511661
