"d3mIndex","sftpcons","sftptv2a3","sftptv2a4","sftptv2a5","sftptv2a2","sftptv2a6","logim","maccat","disp4cat","stratidc"
0,0,0,0,0,0,0,0.11389615,0,0,197711
50.5555555555556,0,0,0,0,0,0,0.11389615,0,0,197711
101.111111111111,0,0,0,0,0,0,0.11389615,0,0,197711
151.666666666667,0,0,0,0,0,0,0.11389615,0,0,197711
202.222222222222,0,0,0,0,0,0,0.11389615,0,0,197711
252.777777777778,0,0,0,0,0,0,0.11389615,0,0,197711
303.333333333333,0,0,0,0,0,0,0.11389615,0,0,197711
353.888888888889,0,0,0,0,0,0,0.11389615,0,0,197711
404.444444444444,0,0,0,0,0,0,0.11389615,0,0,197711
455,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,1,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,1,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,1,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,1,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,1,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,1,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,-2.461917,0,0,197711
227.5,0,0,0,0,0,0,-2.04416255555556,0,0,197711
227.5,0,0,0,0,0,0,-1.62640811111111,0,0,197711
227.5,0,0,0,0,0,0,-1.20865366666667,0,0,197711
227.5,0,0,0,0,0,0,-0.790899222222222,0,0,197711
227.5,0,0,0,0,0,0,-0.373144777777778,0,0,197711
227.5,0,0,0,0,0,0,0.0446096666666667,0,0,197711
227.5,0,0,0,0,0,0,0.462364111111111,0,0,197711
227.5,0,0,0,0,0,0,0.880118555555556,0,0,197711
227.5,0,0,0,0,0,0,1.297873,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,1,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,197711
227.5,0,0,0,0,0,0,0.11389615,0,1,197711
227.5,0,0,0,0,0,0,0.11389615,0,0,195621
227.5,0,0,0,0,0,0,0.11389615,0,0,196142.111111111
227.5,0,0,0,0,0,0,0.11389615,0,0,196663.222222222
227.5,0,0,0,0,0,0,0.11389615,0,0,197184.333333333
227.5,0,0,0,0,0,0,0.11389615,0,0,197705.444444444
227.5,0,0,0,0,0,0,0.11389615,0,0,198226.555555556
227.5,0,0,0,0,0,0,0.11389615,0,0,198747.666666667
227.5,0,0,0,0,0,0,0.11389615,0,0,199268.777777778
227.5,0,0,0,0,0,0,0.11389615,0,0,199789.888888889
227.5,0,0,0,0,0,0,0.11389615,0,0,200311
